rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,has_ls_dr10
1,1,NGC 1316,50.673754,-37.207939,-56.69016585371814,240.1623183091848,19.76969640111861,CF4,-25.893000000000004,11.669200000000004,466874334392.0226,5.587,5.1058764,5.128447,31.35,31.614,,30.096,,,,0.0060100001282989,True
2,1,MESSIER 049,187.44484125,8.00047583333,70.19608097473625,286.92178609311827,16.726304546595625,CF4,-25.720999999999997,11.6004,398474009717.7756,5.396,5.0204654,5.118674,,31.124,,30.856,,,,0.0032720000017434,True
3,1,NGC 2974,145.6387045,-3.6991485,35.01421079392015,239.5122433735335,22.428488158692858,CF4,-25.49900000000001,11.511600000000003,324788018763.5394,6.255,6.369305,5.982826,,31.754,,,,,,0.0062939999625086,True
4,1,MESSIER 060,190.9166453,11.5526118,74.31775761986307,295.87341160925473,16.6571232806881,CF4,-25.368999999999996,11.4596,288137643483.97,5.739,5.4133105,5.4660797,,31.094,,31.656,,,,0.003703000023961,True
5,1,MESSIER 087,187.705930779167,12.3911232583333,74.49115453910551,283.77775502280457,16.85776517828977,CF4,-25.322,11.4408,275930685581.7517,5.812,5.39706,5.440462,,31.134,,,,,,0.0042829997837543,True
6,1,NGC 1399,54.6209166666667,-35.4501944444444,-53.63586625891352,236.71549088504472,20.739582044538317,CF4,-25.277999999999995,11.4232,264972009887.89612,6.306,5.751033,5.8014064,,31.564,,32.196,,,,0.0047530001029372,True
7,1,NGC 4753,193.091951,-1.1996105,61.67125273576919,303.4217243994919,24.479356661960654,CF4,-25.222,11.400800000000002,251651776161.4655,6.722,6.4559145,6.4688225,,31.944,,,,,,0.003878999967128,True
8,1,NGC 3923,177.7571327,-28.8059408,32.22259651447907,287.27553198398056,21.777097723531604,CF4,-25.19,11.388,244343055269.39713,6.5,6.056142,6.1285744,,31.834,,31.206,,,,0.0058010001666843,True
9,1,MESSIER 088,187.9965382,14.4202706,76.50767487155558,282.3288490302198,19.453600816226633,CF4,-25.178,11.383200000000002,241657345143.684,6.267,6.062656,5.9793005,,,31.445,,,,,0.0076190000399947,True
10,1,NGC 4365,186.11785208333,7.31767277778,69.1820878189861,283.8075031036484,22.636016404497504,CF4,-25.134,11.3656,232059846159.8925,6.64,6.442244,6.5170403,,31.774,,31.776,,,,0.0041459999047219,True
11,1,MESSIER 085,186.35022,18.19108,79.23721946311622,267.7119829089331,17.741894808901662,CF4,-25.100000000000005,11.352000000000004,224905460583.5801,6.145,5.789463,5.808144,,31.264,,30.276,,,,0.0024319998919963,True
12,1,MESSIER 084,186.2655969175,12.8869829413889,74.47836073408554,278.20446809886755,17.864875748520518,CF4,-25.038000000000004,11.327200000000005,212422247738.8712,6.222,5.751313,5.78404,,31.274,,31.396,,,,0.00339199998416,True
13,1,NGC 1395,54.6244708333333,-23.0274722222222,-52.12013421364589,216.21176616796345,24.277278476809965,CF4,-25.031999999999996,11.3248,211251596624.0851,6.894,6.5950584,6.6563716,,31.934,,31.846,,,,0.0057270000688731,True
14,1,NGC 4125,182.025071,65.174133,51.33907435696776,130.1897034349388,23.528812019381697,CF4,-25.002999999999997,11.3132,205683758662.7888,6.855,6.579667,6.625122,,31.934,,,,,,0.0042732898145914,True
15,1,NGC 1553,64.043484,-55.7800054,-43.69130526846825,265.63130653174295,18.046791465567217,CF4,-25.001000000000005,11.312400000000004,205305223927.94873,6.281,5.986952,6.0148597,,31.354,,29.756,,,,0.0036019999533891,True
16,1,NGC 1365,53.4016965,-36.1401859,-54.59798343695049,237.9557263523671,18.732683693442123,CF4,-24.99,11.308,203235701093.6221,6.373,6.046259,5.763622,31.4,,30.645,,,,,0.0054569998756051,True
17,1,MESSIER 058,189.43134166667,11.81819388889,74.35525886991456,290.39680792808025,19.51641300285829,CF4,-24.966000000000005,11.298400000000004,198792502104.1894,6.486,6.349943,6.349341,,31.514,31.035,,,,,0.0050599998794496,True
18,1,MESSIER 086,186.5489619,12.946192,74.63697311233155,279.08229962787743,16.2710018157959,NED-LVS,-24.95407146771982,11.29362858708793,196620405343.33936,6.103,5.5012045,5.5842233,,,,,,,,-0.0007469999836757,True
19,1,NGC 4699,192.2590681,-8.6644226,54.20259275372384,301.9171251553796,19.453600816226633,CF4,-24.944,11.2896,194804955329.07657,6.501,6.242595,6.2631264,,,31.445,,,,,0.0046500000171363,True
20,1,MESSIER 104,189.9976312,-11.62308847,51.14924844632753,298.46058763986997,9.55,LVG,-24.93801685791873,11.287206743167491,193734400494.04288,4.962,4.688943,4.7486305,29.8,29.984,30.855,,1.0,9.0,5.0,0.003633180167526,True
21,1,NGC 1332,51.5717781,-21.3351665,-54.36641562314141,212.18246846720425,23.834168206731523,CF4,-24.834000000000003,11.245600000000003,176035395361.6177,7.052,6.8666267,6.9006605,,31.794,,32.596,,,,0.0054000001400709,True
22,1,NGC 7331,339.266927,34.415756,-20.724004343158132,93.72193241976952,14.833834648132324,NED-LVS,-24.828267168240707,11.243306867296283,175108354632.80643,6.028,5.706159,5.597467,,,,,,,,0.0027218831237405,True
23,1,NGC 3585,168.3212716,-26.7548477,31.17544309617513,277.24637563372966,20.15579812825191,CF4,-24.819,11.2396,173620099190.14227,6.703,6.313658,6.364159,,31.584,,30.716,,,,0.0047829998657107,True
24,1,NGC 5363,209.03004166667,5.25477777778,63.24582177391727,340.96082721163793,22.399999618530273,NED-LVS,-24.81724005469086,11.238896021876345,173338894272.8571,6.934,6.6856585,6.7170553,,,,,,,,0.0037990000564604,True
25,1,NGC 3607,169.2277834,18.0517842,66.42237107534478,230.5997337377046,22.84546488551827,CF4,-24.799999999999997,11.232,170608238900.31207,6.994,6.64891,6.7053795,,31.794,,,,,,0.0031020001042634,True
26,1,NGC 2841,140.5111052,50.9766067,44.15131931294787,166.94189131519192,14.662229061058069,CF4,-24.769,11.219600000000002,165805907510.89236,6.062,5.933365,5.933222,,,31.435,,,,,0.0021180000621825,True
27,1,NGC 2768,137.906265,60.037209,40.56344956549775,155.4947255252544,22.532013356294826,CF4,-24.766999999999996,11.2188,165500762876.99896,6.997,6.8048825,6.819084,,31.764,,,,,,0.0045130001381039,True
28,1,NGC 7507,348.03157,-28.53954,-68.03817738695302,23.443231882869128,24.93446188097833,CF4,-24.696,11.190400000000002,155024378887.10495,7.288,6.988438,7.053891,,31.984,,,,,,0.0051569999195635,True
29,1,NGC 1532,63.0180627,-32.8740959,-46.584061022089,233.1682423210407,19.18668740670289,CF4,-24.686,11.1864,153603106838.50302,6.729,6.3515496,6.295694,,,31.415,,,,,0.0034680000972002,True
30,1,NGC 3169,153.5627301,3.4660832,45.647165759485866,238.20180669115632,24.694486510125824,CF4,-24.68,11.184,152756605823.80765,7.283,6.942184,6.8894014,,,,,,,,0.0041100000962615,True
31,1,NGC 7213,332.31770833333,-47.16675,-52.58013594506099,349.58836658755274,22.0,NED-LVS,-24.677113404111036,11.182845361644416,152351018402.50497,7.035,6.57454,6.5211115,,,,,,,,0.0058389999903738,True
32,1,NGC 1380,54.1148758,-34.9760337,-54.05866880201989,235.9258514546404,20.25816014501358,CF4,-24.664,11.177600000000002,150522006863.2136,6.869,6.730079,6.7507925,,31.584,,31.206,,,,0.0062643336132168,True
33,1,NGC 5005,197.7344369,37.0590444,79.24913267075664,101.61346667680895,16.550076287699913,CF4,-24.65,11.172000000000002,148593564228.7015,6.444,6.313764,6.241218,,,31.765,,,,,0.0031560000497847,True
34,1,NGC 1097,41.57941,-30.27491,-64.68054398202152,226.91473425444215,15.031419660900232,CF4,-24.633000000000006,11.165200000000004,146285068699.9867,6.252,5.979577,5.8761954,,,30.885,,,,,0.004240000154823,True
35,1,NGC 2655,133.9083029,78.2233042,32.68855081091609,134.92315803770745,20.634787461531964,CF4,-24.622,11.160800000000002,144810482305.13788,6.951,6.9254017,6.9245763,,,,,,,,0.0046700001694262,True
36,1,NGC 1549,63.9379394,-55.5921831,-43.801479971771705,265.4052062675074,19.098532585662387,CF4,-24.621,11.160400000000005,144677168324.77316,6.784,6.462046,6.497485,,31.484,,30.796,,,,0.0041899997740983,True
37,1,NGC 1404,54.71638,-35.59411,-53.554722547803514,236.95475676712917,19.364219639466057,CF4,-24.615,11.158,143879857825.58496,6.82,6.5149026,6.5519204,31.27,31.534,,31.146,,,,0.0064477939158678,True
38,1,NGC 4030,180.0984929,-1.1000504,59.21470134100052,277.370085342065,24.322040090738145,CF4,-24.6,11.152,141905752168.90955,7.33,7.101193,6.9434524,,,32.305,,,,,0.0048630000092089,True
39,1,NGC 4216,183.9765537,13.1494669,73.73786035472318,270.45476739624536,16.693260192871094,NED-LVS,-24.58870581326557,11.147482325306228,140437252798.305,6.524,6.367462,6.382226,,,,,,,,0.0004370000096969,True
40,1,NGC 0936,36.9059853,-1.1559685,-55.26379056978095,168.57351911030193,19.85307884216309,NED-LVS,-24.57613933647179,11.14245573458872,138821180940.12106,6.913,6.8540945,6.877474,,,,,,,,0.0047829998657107,True
41,1,NGC 2442,114.099199,-69.5308079,-21.50174427843169,281.2994004401103,19.37313924581955,CF4,-24.567,11.138800000000002,137657538650.94214,6.869,6.734316,6.6513267,,,,,,,,0.0048900498077273,True
42,1,NGC 4526,188.512619,7.69914,70.13852338340831,290.15951164087096,16.05461886800971,CF4,-24.555,11.134,136144468246.59512,6.473,6.350515,6.368564,30.98,31.254,,,,,,0.0020580000709742,True
43,1,NGC 0134,7.5915242,-33.2439604,-82.37807229909504,338.3077685467064,18.749945080674173,CF4,-24.520999999999994,11.120399999999998,131947145719.51126,6.844,6.573942,6.4556513,,,31.365,,,,,0.0052769999019801,True
44,1,NGC 3166,153.440327,3.424804,45.52422274891999,238.14614587275,22.0,NED-LVS,-24.502113404111036,11.112845361644416,129671746921.24214,7.21,7.073941,7.0416813,,,,,,,,0.0039461837150156,True
45,1,MESSIER 065,169.732983,13.0923076,64.22167415709814,241.33128596182664,12.73503081016661,CF4,-24.459,11.0956,124623516048.65166,6.066,5.924371,5.925916,,,30.525,,2.0,10.3,6.1,0.002678999910131,True
46,1,NGC 4274,184.960818,29.614698,82.62082618196139,191.39723002690457,19.81527025805098,CF4,-24.453,11.0932,123936720482.06844,7.032,6.9913545,6.979201,,,31.485,,,,,0.0031020001042634,True
47,1,NGC 4636,190.70761,2.6878,65.4728760461698,297.7481004961322,14.89361077710914,CF4,-24.44299999999999,11.089199999999998,122800461798.87833,6.422,6.166502,6.2149525,,30.844,,31.176,,,,0.0031290000770241,True
48,1,NGC 5033,198.364474,36.593922,79.44786416668298,98.06019257564088,18.663796908346704,CF4,-24.398999999999997,11.0716,117923402065.30025,6.956,6.692923,6.5844994,,,31.355,,,,,0.0029120000544935,True
49,1,NGC 2985,147.592625,72.27863888889,38.68283424997697,139.01346579460187,22.399999618530273,NED-LVS,-24.39124005469086,11.068496021876346,117083587745.16884,7.36,7.178537,7.1392574,,,,,,,,0.00441600009799,True
50,1,MESSIER 100,185.72859,15.821635,76.89821425213528,271.1371862239813,15.653748512268066,NED-LVS,-24.384091761571742,11.0656367046287,116315262363.5948,6.589,6.282574,6.162962,,,,,,,,0.0052399998530745,True
51,1,NGC 5907:[IDD2022] X026,228.97183208333,56.32988,51.08731838729712,91.58655210073468,16.896626340487042,CF4,-24.382000000000005,11.064800000000004,116091387012.61916,6.757,6.4537177,6.3234153,31.14,,31.075,,,,,0.0022179998923093,True
52,1,NGC 1566,65.0016417,-54.9379439,-43.39329177538479,264.31031900415144,17.899999618530273,NED-LVS,-24.378265108622873,11.06330604344915,115692723130.51248,6.886,6.614419,6.5017614,,,,,,,,0.005016999784857,True
53,1,NGC 7582,349.59845,-42.37042,-65.69625790496553,348.0782032622222,21.727011788637434,CF4,-24.369000000000003,11.059600000000003,114709661977.35648,7.316,6.8716493,6.318316,,,31.685,,,,,0.0054104095324873,True
54,1,NGC 4856,194.8385342,-15.0419869,47.78602455105913,305.77706238642475,23.2912540435791,NED-LVS,-24.36596436185426,11.058385744741706,114389390181.22792,7.47,7.3174963,7.36022,,,,,,,,0.0045130001381039,True
55,1,NGC 3521,166.45242083333,-0.03586388889,52.82924899224688,255.531766081568,10.7,LVG,-24.36391888842605,11.05756755537042,114174089087.29031,5.783,5.491012,5.4010744,,,30.495,,4.0,9.8,5.8,0.0026650000363588,True
56,1,NGC 1574,65.49479,-56.97451,-42.58493306343218,266.893643571769,19.696996148999244,CF4,-24.363,11.057200000000002,114077501292.21252,7.109,7.0247297,7.051756,,31.484,,31.406,,,,0.0034719998948276,True
57,1,NGC 5170,202.4532754,-17.9664312,43.955300061994,315.65411076845953,24.717241450161303,CF4,-24.336999999999996,11.0468,111378150013.46634,7.628,7.393506,7.3590536,,,31.965,,,,,0.0050059999339282,True
58,1,NGC 4698,192.0954797,8.4873652,71.34509063096094,300.5689994700513,23.933157564053875,CF4,-24.330999999999996,11.0444,110764349166.9742,7.564,7.408104,7.41937,,,31.895,,,,,0.0033660000190138,True
59,1,ARP 244,180.47154,-18.8772,42.45284863000051,286.96288719955913,19.933481216430664,NED-LVS,-24.320915756186945,11.040366302474778,109740340270.7941,7.177,,,,,,,,,,0.0056880000047385,True
