rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,has_ls_dr10,hyperleda_type,is_lit_host,is_cluster,score_lum,score_lit,score_field,score_dist,total_score
20,1,MESSIER 104,189.9976312,-11.62308847,51.14924844632753,298.46058763986997,9.55,LVG,-24.93801685791873,11.287206743167491,193734400494.04288,4.962,4.688943,4.7486305,29.8,29.984,30.855,,1.0,9.0,5.0,0.003633180167526,True,,True,False,37.500220653386414,30,20,12.36,99.8602206533864
15,1,NGC 1553,64.043484,-55.7800054,-43.69130526846825,265.63130653174295,18.046791465567217,CF4,-25.001000000000005,11.312400000000004,205305223927.94873,6.281,5.986952,6.0148597,,31.354,,29.756,,,,0.0036019999533891,True,SO,True,False,38.32460732984297,30,20,5.562566827546227,93.88717415738918
8,1,NGC 3923,177.7571327,-28.8059408,32.22259651447907,287.27553198398056,21.777097723531604,CF4,-25.19,11.388,244343055269.39713,6.5,6.056142,6.1285744,,31.834,,31.206,,,,0.0058010001666843,True,E,True,False,40.798429319371635,30,20,2.578321821174716,93.37675114054635
97,1,MESSIER 081,148.8882210375,69.0652946122222,40.90005688963208,142.09182248538875,3.7,LVG,-24.010008620334975,10.916003448133992,82414465838.40285,3.831,3.621141,3.622977,,,,,3.0,7.8,3.8,-0.0001300000003539,True,,True,False,25.353515972970893,30,20,17.04,92.3935159729709
36,1,NGC 1549,63.9379394,-55.5921831,-43.801479971771705,265.4052062675074,19.098532585662387,CF4,-24.621,11.160400000000005,144677168324.77316,6.784,6.462046,6.497485,,31.484,,30.796,,,,0.0041899997740983,True,E,True,False,33.35078534031421,30,20,4.721173931470091,88.07195927178431
2,1,MESSIER 049,187.44484125,8.00047583333,70.19608097473625,286.92178609311827,16.726304546595625,CF4,-25.720999999999997,11.6004,398474009717.7756,5.396,5.0204654,5.118674,,31.124,,30.856,,,,0.0032720000017434,True,E,True,True,47.74869109947634,30,0,6.6189563627235,84.36764746219983
1,1,NGC 1316,50.673754,-37.207939,-56.69016585371814,240.1623183091848,19.76969640111861,CF4,-25.893000000000004,11.669200000000004,466874334392.0226,5.587,5.1058764,5.128447,31.35,31.614,,30.096,,,,0.0060100001282989,True,SO,True,True,50.0,30,0,4.184242879105113,84.18424287910511
4,1,MESSIER 060,190.9166453,11.5526118,74.31775761986307,295.87341160925473,16.6571232806881,CF4,-25.368999999999996,11.4596,288137643483.97,5.739,5.4133105,5.4660797,,31.094,,31.656,,,,0.003703000023961,True,,True,True,43.1413612565444,30,0,6.674301375449518,79.81566263199392
5,1,MESSIER 087,187.705930779167,12.3911232583333,74.49115453910551,283.77775502280457,16.85776517828977,CF4,-25.322,11.4408,275930685581.7517,5.812,5.39706,5.440462,,31.134,,,,,,0.0042829997837543,True,E,True,True,42.526178010471085,30,0,6.513787857368182,79.03996586783927
81,1,NGC 1400,54.8784869,-18.6881807,-50.57325481902767,209.70657935361072,24.366884234595855,CF4,-24.123,10.9612,91453430312.046,7.811,7.5766907,7.6258183,,31.934,,,-3.0,11.9,7.8,0.0019680282566696,True,,True,False,26.83246073298423,30,20,0.5064926123233171,77.33895334530754
