object_id,original_name,source_id,ra,dec,g_mag,r_mag,re_pc,ls_dr10_id,ls_type,ls_g_mag,ls_r_mag,ls_i_mag,ls_z_mag,ls_xmatch_dist
2015ApJ._0001,J122628.69+125642.6,2015ApJ...812...34L,186.6195415,12.9451739,19.695,,,10995541386199756,PSF,19.810985621506894,19.139007672434246,18.877918957486315,18.72106090534395,
2015ApJ._0003,J122638.52+123702.7,2015ApJ...812...34L,186.6604821,12.6174078,20.575,,,10995538438652616,REX,20.541620527048867,19.960525154559242,19.722431281626243,19.616419699011765,
2015ApJ._0004,J122638.79+124545.8,2015ApJ...812...34L,186.661636,12.762711,20.52,,,10995539913998928,REX,20.523262371182245,19.9387515556889,19.747464321783113,19.614055266359934,
2015ApJ._0005,J122656.56+123532.2,2015ApJ...812...34L,186.7356434,12.5922742,19.801,,,10995538438656396,REX,19.76301538229005,19.12847361678965,18.87824389849369,18.751802264951902,
2015ApJ._0006,J122727.19+125546.0,2015ApJ...812...34L,186.8632841,12.9294426,21.012,,,10995541387257149,REX,21.025587881691447,20.465862685634466,20.28161415608697,20.165258532416857,
2015ApJ._0007,J122837.21+122845.6,2015ApJ...812...34L,187.1550495,12.4793425,21.014,,,10995538439713886,REX,21.021734953037882,20.43743521223637,20.213642201770035,20.103678444403585,
2015ApJ._0008,J122856.90+130220.5,2015ApJ...812...34L,187.2370664,13.0390265,21.342,,,10995541389347822,REX,21.267639694112827,20.694726621129906,20.506134560825192,20.396594596699725,
2015ApJ._0009,J122910.66+124304.1,2015ApJ...812...34L,187.294429,12.7178146,20.883,,,10995539916102683,REX,20.8963665329363,20.26906908085019,20.023320895127757,19.911850025159136,
2015ApJ._0010,J122914.87+115343.8,2015ApJ...812...34L,187.311941,11.8955165,20.189,,,10995535486918451,REX,20.183679328904354,19.585412163674178,19.349599275144335,19.242137181338826,
2015ApJ._0011,J122937.93+114058.1,2015ApJ...812...34L,187.4080229,11.6828173,21.198,,,10995534008419129,REX,21.22423365369473,20.637558413439614,20.388725051041256,20.30634294922353,
2015ApJ._0012,J122940.39+122728.1,2015ApJ...812...34L,187.4182872,12.4577958,19.958,,,10995538441798029,REX,19.960441609539874,19.356771559127203,19.13504318162944,19.028488644729073,
2015ApJ._0013,J122941.32+123952.4,2015ApJ...812...34L,187.422179,12.6645688,20.255,,,10995539916109431,REX,20.25944777111982,19.638372334345743,19.40002825820366,19.273963172429568,
2015ApJ._0014,J122941.56+124427.6,2015ApJ...812...34L,187.4231465,12.7410002,20.948,,,10995539916109476,PSF,21.024345133614652,20.378120266155445,20.1376771891466,20.03688077648947,
2015ApJ._0015,J122945.26+125100.9,2015ApJ...812...34L,187.4385733,12.8502553,20.508,,,10995539917144754,PSF,20.593787629377328,19.998517028987017,,19.704309987423812,
2015ApJ._0016,J122952.28+123737.8,2015ApJ...812...34L,187.467826,12.6271638,20.803,,,10995539917146030,SER,20.822050530831852,20.124537222992526,19.847902356224548,19.687027900211227,
2015ApJ._0017,J122952.41+123504.1,2015ApJ...812...34L,187.4683715,12.58447,19.746,,,10995538441800981,REX,19.70475593867389,19.120440990006358,18.91415185494583,18.794553715826552,
2015ApJ._0018,J122954.98+123350.9,2015ApJ...812...34L,187.4790895,12.5641282,20.617,,,10995538441801688,REX,20.604324806469442,20.040957169703997,19.83522836712239,19.728786003107803,
2015ApJ._0019,J122957.12+123602.9,2015ApJ...812...34L,187.4880095,12.6008171,20.266,,,10995538441802198,DEV,20.278717338431722,19.71067874015486,19.506912768094463,19.400119106795344,
2015ApJ._0020,J123001.95+124226.9,2015ApJ...812...34L,187.5081185,12.7074667,19.865,,,10995539917147960,REX,19.861257355038124,19.321092820223157,19.110219263929338,19.013469587474034,
2015ApJ._0021,J123002.46+123633.8,2015ApJ...812...34L,187.5102296,12.6093775,20.208,,,10995538441803522,REX,20.237023020899525,19.61147671329917,19.37796168924676,19.254991918819975,
2015ApJ._0022,J123004.05+120714.0,2015ApJ...812...34L,187.5168687,12.1205496,19.732,,,10995535487965488,REX,19.755912433198787,19.1511126894158,18.93111867425354,18.813976294667818,
2015ApJ._0023,J123006.06+123954.0,2015ApJ...812...34L,187.5252451,12.664993,19.479,,,10995539917148750,REX,19.507205745920793,18.873465362809167,18.627836544215988,18.491425749408037,
