original_name,ra,dec,v_mag,(V-R)0,RV,e_RV,EW<Fe>,e_EW<Fe>,EWMgb,e_EWMgb,rhl,e_rhl,is_ucd,confirmation_status,distance_mpc
J1250.02-4121.45,192.505125,-41.35745277777778,21.06,0.4,4835,60,2.76,0.36,4.13,0.55,,,1,candidate,3.8
J1248.54-4119.64,192.136,-41.32727777777778,21.08,0.47,3854,69,2.2,0.27,2.83,0.36,,,1,candidate,3.8
J1248.79-4117.15,192.198375,-41.285866666666664,21.1,0.5,2882,54,4.15,0.25,6.69,0.36,6.12,0.45,1,candidate,3.8
J1248.06-4111.40,192.01566666666665,-41.19008333333333,21.15,0.58,2768,89,2.8,0.2,2.96,0.27,,,1,candidate,3.8
J1248.54-4121.90,192.13533333333334,-41.36501944444444,21.22,0.51,3279,75,3.51,0.3,4.07,0.42,,,1,candidate,3.8
J1248.70-4121.11,192.17395833333333,-41.35187777777778,21.57,0.5,2521,123,3.56,0.4,2.78,0.57,,,1,candidate,3.8
J1250.11-4114.59,192.52737499999998,-41.24313333333333,21.57,0.45,4430,66,2.7,0.35,2.44,0.47,,,1,candidate,3.8
J1249.71-4120.63,192.42762499999998,-41.343900000000005,21.59,0.43,5184,55,2.29,0.35,3.34,0.48,,,1,candidate,3.8
J1248.79-4116.00,192.19870833333331,-41.26669722222222,21.75,0.46,3140,63,3.73,0.28,5.54,0.4,,,1,candidate,3.8
J1248.74-4118.58,192.18625,-41.309730555555554,21.76,0.44,2189,114,1.34,0.59,3.35,0.74,29.49,0.64,1,candidate,3.8
J1248.76-4118.70,192.18983333333333,-41.311724999999996,21.77,0.55,2828,45,4.15,0.47,6.09,0.68,4.36,0.3,1,candidate,3.8
J1248.74-4119.74,192.1847083333333,-41.32899166666667,21.79,0.4,3138,56,4.28,0.35,5.77,0.49,7.02,0.25,1,candidate,3.8
J1250.03-4122.68,192.507375,-41.377944444444445,21.84,0.54,4538,66,0.96,0.61,3.53,0.85,6.18,0.83,1,candidate,3.8
J1248.63-4115.71,192.157375,-41.26176944444445,21.87,0.39,2524,88,2.61,0.47,2.4,0.65,,,1,candidate,3.8
J1249.07-4120.77,192.26662499999998,-41.3461,21.88,0.37,2453,140,0.87,0.39,3.24,0.51,,,1,candidate,3.8
J1249.36-4121.57,192.34016666666662,-41.35948888888889,22.09,0.42,2790,96,2.44,0.58,4.76,0.76,,,1,candidate,3.8
J1249.99-4124.45,192.49670833333332,-41.40755,22.1,0.36,5000,80,1.47,0.62,3.59,0.88,8.94,1.31,1,candidate,3.8
J1248.97-4120.01,192.24270833333333,-41.33347777777778,22.12,0.52,2962,98,1.88,0.45,5.89,0.62,,,1,candidate,3.8
J1248.65-4120.34,192.16366666666667,-41.33905,22.13,0.55,3303,69,3.55,0.53,4.88,0.76,,,1,candidate,3.8
J1248.74-4118.95,192.18379166666665,-41.31579722222222,22.17,0.53,3213,53,2.35,0.65,4.66,0.9,7.77,1.32,1,candidate,3.8
J1248.70-4118.23,192.1749583333333,-41.303824999999996,22.18,0.48,2822,55,3.47,0.43,5.96,0.6,10.17,0.98,1,candidate,3.8
J1250.07-4121.16,192.5187083333333,-41.35260277777778,22.18,0.43,4952,80,0.09,0.92,0.72,1.25,,,1,candidate,3.8
J1248.72-4121.23,192.17925,-41.35376111111111,22.23,0.58,2582,99,2.26,0.6,3.21,0.86,,,1,candidate,3.8
J1249.41-4118.64,192.35354166666664,-41.31059722222222,22.23,0.58,2206,79,3.42,0.6,5.58,0.76,,,1,candidate,3.8
J1248.91-4117.70,192.22766666666666,-41.29501388888889,22.29,0.43,2909,120,1.78,0.67,3.93,0.88,,,1,candidate,3.8
J1248.99-4118.08,192.24854166666665,-41.301252777777776,22.31,0.53,2806,75,2.15,0.66,4.72,0.91,,,1,candidate,3.8
J1248.62-4120.63,192.15470833333333,-41.343830555555556,22.34,0.52,3741,85,2.96,0.61,4.48,0.87,,,1,candidate,3.8
