original_name,ra,dec,i_mag,e_Imag,r-I,e_r-I,g-I,e_g-I,b/a,q,Rc,Mass,MType,is_ucd,confirmation_status,notes,distance_mpc
211,205.8613,-38.18323,21.926,0.011,0.497,0.015,1.599,0.019,0.67,0.62,81.3,8.7e+07,UCD,1,candidate,"z=0.034, negative test baseline",150.0
267,205.86669,-38.1741,23.438,0.014,0.631,0.029,1.74,0.043,0.75,0.68,61.6,3.4e+07,UCD,1,candidate,"z=0.034, negative test baseline",150.0
419,205.86652,-38.17941,21.461,0.011,0.498,0.014,1.704,0.018,0.82,0.8,173.6,1.9e+08,Sp,1,candidate,"z=0.034, negative test baseline",150.0
446,205.87906,-38.15454,22.343,0.012,0.51,0.017,1.531,0.022,0.97,0.96,141.9,4.6e+07,S0,1,candidate,"z=0.034, negative test baseline",150.0
536,205.88198,-38.15171,23.273,0.019,0.734,0.048,1.71,0.056,0.66,0.57,228.7,3.6e+07,Irr,1,candidate,"z=0.034, negative test baseline",150.0
575,205.86844,-38.17896,23.368,0.017,0.829,0.042,1.311,0.038,0.69,0.93,35.0,8e+06,Clump,1,candidate,"z=0.034, negative test baseline",150.0
1048,205.88637,-38.15403,23.403,0.02,0.829,0.048,1.434,0.045,0.57,0.56,220.3,1.2e+07,Irr,1,candidate,"z=0.034, negative test baseline",150.0
1201,205.88024,-38.16939,23.78,0.018,0.68,0.036,1.439,0.042,0.72,0.58,60.8,8.6e+06,UCD,1,candidate,"z=0.034, negative test baseline",150.0
1318,205.89067,-38.15035,22.791,0.012,0.747,0.027,1.988,0.03,0.92,0.84,11.2,1.2e+08,UCD,1,candidate,"z=0.034, negative test baseline",150.0
1350,205.88684,-38.15907,23.433,0.017,0.825,0.038,1.67,0.049,0.71,0.56,104.0,2.8e+07,cE,1,candidate,"z=0.034, negative test baseline",150.0
1470,205.87982,-38.17601,23.175,0.019,0.49,0.031,1.351,0.037,0.72,0.82,126.7,1.1e+07,cE,1,candidate,"z=0.034, negative test baseline",150.0
1596,205.88554,-38.1672,23.022,0.018,0.61,0.031,1.637,0.045,0.6,0.56,226.5,3.6e+07,Irr,1,candidate,"z=0.034, negative test baseline",150.0
1659,205.88557,-38.16813,23.265,0.015,0.829,0.03,1.792,0.041,0.87,0.81,90.3,4.7e+07,UCD,1,candidate,"z=0.034, negative test baseline",150.0
1990,205.88631,-38.17262,23.837,0.017,0.567,0.033,1.654,0.042,0.96,0.81,12.3,1.8e+07,UCD,1,candidate,"z=0.034, negative test baseline",150.0
2253,205.87746,-38.19469,23.551,0.014,0.522,0.027,1.44,0.034,0.99,0.83,16.9,1.1e+07,UCD,1,candidate,"z=0.034, negative test baseline",150.0
2317,205.89302,-38.16406,23.863,0.019,0.655,0.037,1.841,0.06,0.71,0.55,67.1,3.1e+07,UCD,1,candidate,"z=0.034, negative test baseline",150.0
2445,205.87746,-38.19764,23.264,0.018,0.579,0.032,1.522,0.045,0.53,0.58,178.2,1.9e+07,Irr,1,candidate,"z=0.034, negative test baseline",150.0
2626,205.89274,-38.16961,23.594,0.016,0.66,0.031,1.372,0.034,0.88,0.7,40.0,7.9e+06,UCD,1,candidate,"z=0.034, negative test baseline",150.0
2632,205.89377,-38.16771,23.947,0.033,0.876,0.087,1.503,0.093,0.51,0.56,241.5,9.5e+06,Irr,1,candidate,"z=0.034, negative test baseline",150.0
3153,205.88536,-38.19365,21.912,0.012,0.499,0.016,1.413,0.02,0.87,0.66,211.8,4.4e+07,Irr,1,candidate,"z=0.034, negative test baseline",150.0
3495,205.90039,-38.16848,23.638,0.021,0.692,0.043,1.665,0.059,0.73,0.59,142.2,2.3e+07,Irr,1,candidate,"z=0.034, negative test baseline",150.0
3688,205.89787,-38.17786,22.535,0.015,0.64,0.022,1.695,0.034,0.77,0.54,90.2,6.9e+07,UCD,1,candidate,"z=0.034, negative test baseline",150.0
4054,205.89599,-38.19076,23.541,0.018,0.549,0.033,1.33,0.041,0.75,0.8,128.1,7.2e+06,Sp,1,candidate,"z=0.034, negative test baseline",150.0
