original_name,ra,dec,r_mag,b_mag,RV,e_RV,Notes,Simbad,is_ucd,confirmation_status,distance_mpc
1,53.714624999999984,-35.73411111111111,20.3,21.0,1369,68,,Simbad,1,candidate,20.0
2,54.09283333333333,-35.60952777777778,19.7,20.4,1462,76,,Simbad,1,candidate,20.0
3,54.111333333333334,-35.367111111111114,19.1,20.1,1499,117,,Simbad,1,candidate,20.0
4,54.115583333333326,-35.23719444444445,18.9,20.2,1297,45,,Simbad,1,candidate,20.0
5,54.119583333333324,-34.94186111111111,,21.1,1658,65,,Simbad,1,candidate,20.0
6,54.14316666666666,-35.325694444444444,19.9,21.0,1817,104,GC230.7,Simbad,1,candidate,20.0
7,54.19854166666666,-35.49358333333333,19.9,20.9,1446,89,,Simbad,1,candidate,20.0
8,54.19891666666666,-35.80947222222222,20.3,20.9,1340,91,,Simbad,1,candidate,20.0
9,54.21533333333333,-35.51080555555556,20.2,21.3,1375,46,GC41.40,Simbad,1,candidate,20.0
10,54.26374999999999,-35.63461111111111,18.6,19.9,1491,39,"UCD 1, 2-2031",Simbad,1,candidate,20.0
11,54.35379166666666,-35.602694444444445,19.6,20.3,1496,55,,Simbad,1,candidate,20.0
12,54.365041666666656,-35.5035,19.4,20.5,1828,77,GC46.30,Simbad,1,candidate,20.0
13,54.40954166666666,-35.33905555555556,20.4,21.3,2226,87,,Simbad,1,candidate,20.0
14,54.42437499999999,-35.68966666666666,20.2,21.3,1175,61,2-078,Simbad,1,candidate,20.0
15,54.42941666666666,-35.36997222222222,20.2,20.7,1146,86,,Simbad,1,candidate,20.0
16,54.4315,-35.25266666666667,20.4,18.9,1641,99,4-2028,Simbad,1,candidate,20.0
17,54.43166666666666,-35.381055555555555,19.2,20.1,1326,82,GC302.3,Simbad,1,candidate,20.0
18,54.43804166666666,-35.48377777777778,19.9,20.9,1641,63,GC85.30,Simbad,1,candidate,20.0
19,54.52116666666666,-35.40266666666667,18.4,19.4,1212,32,"UCD 6, 2-2143",Simbad,1,candidate,20.0
20,54.526374999999994,-35.483000000000004,18.7,,1312,57,"UCD 2, 2-2111, 91:93",Simbad,1,candidate,20.0
21,54.52720833333333,-35.38444444444444,19.6,20.5,1510,64,2-2153,Simbad,1,candidate,20.0
