ID,ra,dec,R,V0,(V-R)0,RV,e_RV,Simbad,is_ucd,confirmation_status,distance_mpc
1,159.17708333333331,-27.54802777777778,1.19,20.03,0.6,3352,42,Simbad,1,candidate,50.7
2,159.08083333333332,-27.43497222222222,8.09,20.65,0.61,3547,52,Simbad,1,candidate,50.7
3,159.17458333333332,-27.32911111111111,11.96,20.85,0.52,3354,56,Simbad,1,candidate,50.7
4,159.14499999999995,-27.57938888888889,3.66,20.86,0.64,3563,43,Simbad,1,candidate,50.7
5,159.14333333333332,-27.50425,2.55,21.06,0.61,3804,61,Simbad,1,candidate,50.7
6,159.18291666666664,-27.632583333333333,6.26,21.07,0.53,3980,50,Simbad,1,candidate,50.7
7,159.17541666666665,-27.400972222222222,7.64,21.15,0.53,3986,43,Simbad,1,candidate,50.7
8,159.18249999999998,-27.5395,0.71,21.22,0.54,3301,53,Simbad,1,candidate,50.7
9,158.90291666666664,-27.294500000000003,21.67,21.24,0.47,3137,72,Simbad,1,candidate,50.7
10,159.13249999999996,-27.487166666666667,3.7,21.3,0.55,4976,46,Simbad,1,candidate,50.7
11,159.135,-27.489472222222222,3.49,21.3,0.6,3784,49,Simbad,1,candidate,50.7
12,159.1895833333333,-27.497833333333336,1.95,21.33,0.58,3608,99,Simbad,1,candidate,50.7
13,159.00791666666666,-27.383694444444444,13.42,21.42,0.52,4254,86,Simbad,1,candidate,50.7
14,159.1308333333333,-27.50713888888889,3.12,21.44,0.6,4472,57,Simbad,1,candidate,50.7
15,159.20541666666665,-27.600527777777778,4.63,21.44,0.59,3655,60,Simbad,1,candidate,50.7
16,159.17125,-27.521666666666665,0.59,21.61,0.55,3653,48,Simbad,1,candidate,50.7
17,159.02499999999998,-27.609250000000003,10.4,21.66,0.62,5082,43,Simbad,1,candidate,50.7
18,159.18124999999998,-27.530388888888886,0.22,21.67,0.66,3165,63,Simbad,1,candidate,50.7
19,159.1333333333333,-27.503527777777776,3.08,21.67,0.62,2412,71,Simbad,1,candidate,50.7
20,159.0583333333333,-27.465666666666667,8.13,21.71,0.64,3124,74,Simbad,1,candidate,50.7
21,159.1975,-27.5185,1.28,21.71,0.6,3716,43,Simbad,1,candidate,50.7
22,159.24166666666665,-27.59969444444444,5.72,21.73,0.6,3127,77,Simbad,1,candidate,50.7
23,159.42958333333334,-27.600250000000003,15.67,21.74,0.58,3760,40,Simbad,1,candidate,50.7
24,159.23666666666665,-27.55852777777778,3.93,21.75,0.55,2861,72,Simbad,1,candidate,50.7
25,159.18666666666664,-27.571,2.61,21.76,0.66,3354,37,Simbad,1,candidate,50.7
26,159.14583333333331,-27.549972222222223,2.35,21.82,0.56,3742,96,Simbad,1,candidate,50.7
27,159.14583333333331,-27.49566666666667,2.77,21.88,0.58,3624,61,Simbad,1,candidate,50.7
28,159.22041666666664,-27.40919444444444,7.58,21.88,0.53,2664,91,Simbad,1,candidate,50.7
29,159.2008333333333,-27.371805555555557,9.49,21.89,0.6,3301,39,Simbad,1,candidate,50.7
30,159.20833333333331,-27.531916666666667,1.81,21.91,0.61,3901,48,Simbad,1,candidate,50.7
31,159.0233333333333,-27.45111111111111,10.39,21.92,0.52,3725,62,Simbad,1,candidate,50.7
32,159.23874999999998,-27.43363888888889,6.74,21.99,0.48,3294,60,Simbad,1,candidate,50.7
33,159.1808333333333,-27.422472222222222,6.35,22.01,0.56,4217,61,Simbad,1,candidate,50.7
34,159.20208333333332,-27.578722222222222,3.34,22.04,0.49,4125,52,Simbad,1,candidate,50.7
35,159.13208333333333,-27.50888888888889,3.01,22.04,0.56,3818,59,Simbad,1,candidate,50.7
36,159.255,-27.455416666666665,6.35,22.06,0.45,5810,70,Simbad,1,candidate,50.7
37,159.1483333333333,-27.586388888888887,3.92,22.08,0.63,4078,35,Simbad,1,candidate,50.7
38,159.02999999999997,-27.547611111111113,8.97,22.08,0.57,3821,89,Simbad,1,candidate,50.7
39,159.18791666666667,-27.53086111111111,0.58,22.12,0.59,4342,60,Simbad,1,candidate,50.7
40,159.16416666666663,-27.51488888888889,1.17,22.14,0.63,3395,70,Simbad,1,candidate,50.7
41,159.15749999999997,-27.578944444444446,3.29,22.15,0.54,4745,65,Simbad,1,candidate,50.7
42,159.15124999999998,-27.537861111111113,1.74,22.16,0.55,3867,53,Simbad,1,candidate,50.7
43,159.20166666666663,-27.584194444444442,3.63,22.18,0.6,4802,46,Simbad,1,candidate,50.7
44,159.20041666666665,-27.539805555555557,1.5,22.23,0.58,3248,51,Simbad,1,candidate,50.7
45,159.20916666666665,-27.602861111111114,4.83,22.24,0.56,4218,87,Simbad,1,candidate,50.7
46,159.13833333333332,-27.51522222222222,2.53,22.26,0.55,3927,61,Simbad,1,candidate,50.7
47,159.21124999999998,-27.533611111111114,1.99,22.28,0.48,3584,68,Simbad,1,candidate,50.7
48,159.16916666666665,-27.440916666666666,5.27,22.29,0.59,3850,56,Simbad,1,candidate,50.7
49,159.19291666666663,-27.571833333333334,2.75,22.34,0.54,4477,68,Simbad,1,candidate,50.7
50,159.11708333333328,-27.518527777777777,3.74,22.34,0.54,3794,78,Simbad,1,candidate,50.7
51,158.94041666666664,-27.560666666666666,14.41,22.35,0.64,4079,66,Simbad,1,candidate,50.7
52,158.97041666666667,-27.592305555555555,13.07,22.37,0.63,3596,69,Simbad,1,candidate,50.7
53,159.1645833333333,-27.496750000000002,2.07,22.38,0.46,3653,59,Simbad,1,candidate,50.7
54,159.18541666666664,-27.512416666666667,1.04,22.43,0.55,2914,53,Simbad,1,candidate,50.7
55,159.18874999999997,-27.490694444444447,2.34,22.47,0.57,3229,80,Simbad,1,candidate,50.7
56,159.17041666666663,-27.41916666666667,6.57,22.49,0.44,3439,61,Simbad,1,candidate,50.7
57,159.12541666666664,-27.57397222222222,4.2,22.56,0.62,3201,81,Simbad,1,candidate,50.7
58,159.1933333333333,-27.492250000000002,2.34,22.57,0.4,3734,71,Simbad,1,candidate,50.7
59,159.15958333333333,-27.53927777777778,1.3,22.58,0.61,3358,69,Simbad,1,candidate,50.7
60,159.20833333333331,-27.64097222222222,6.99,22.61,0.62,3532,57,Simbad,1,candidate,50.7
61,159.20833333333331,-27.543055555555558,2.0,22.63,0.57,3119,78,Simbad,1,candidate,50.7
62,159.18249999999998,-27.553611111111113,1.54,22.64,0.62,4674,64,Simbad,1,candidate,50.7
63,159.18249999999998,-27.453416666666666,4.5,22.65,0.59,4185,51,Simbad,1,candidate,50.7
64,159.1583333333333,-27.50461111111111,1.86,22.66,0.55,4053,71,Simbad,1,candidate,50.7
65,159.22124999999997,-27.595444444444443,4.77,22.67,0.55,1259,91,Simbad,1,candidate,50.7
66,159.16291666666666,-27.52225,1.01,22.71,0.7,3950,55,Simbad,1,candidate,50.7
67,159.18874999999997,-27.562194444444444,2.12,22.8,0.62,3001,83,Simbad,1,candidate,50.7
68,159.1645833333333,-27.524472222222222,0.85,22.81,0.63,4502,54,Simbad,1,candidate,50.7
69,159.17166666666665,-27.546305555555556,1.15,22.82,0.58,3780,47,Simbad,1,candidate,50.7
70,159.1870833333333,-27.560111111111112,1.98,22.84,0.49,4234,54,Simbad,1,candidate,50.7
71,159.25625,-27.402055555555553,8.91,22.86,0.5,2874,51,Simbad,1,candidate,50.7
72,159.1958333333333,-27.58836111111111,3.75,22.86,0.51,2708,79,Simbad,1,candidate,50.7
73,159.16166666666663,-27.51527777777778,1.28,22.86,0.58,3134,76,Simbad,1,candidate,50.7
74,159.11166666666665,-27.53986111111111,4.06,22.9,0.55,1570,86,Simbad,1,candidate,50.7
75,159.14249999999996,-27.358972222222224,10.39,22.91,0.65,2755,61,Simbad,1,candidate,50.7
76,159.19083333333333,-27.562194444444444,2.16,22.92,0.59,3612,47,Simbad,1,candidate,50.7
77,159.17999999999998,-27.47433333333333,3.24,22.92,0.57,3154,69,Simbad,1,candidate,50.7
78,158.97083333333333,-27.385194444444444,15.14,22.96,0.43,3830,68,Simbad,1,candidate,50.7
79,159.12749999999997,-27.360305555555556,10.54,22.96,0.61,3912,52,Simbad,1,candidate,50.7
80,159.17916666666662,-27.56925,2.46,23.0,0.6,4706,58,Simbad,1,candidate,50.7
81,159.26541666666665,-27.445,7.23,23.0,0.54,3659,59,Simbad,1,candidate,50.7
82,159.17874999999998,-27.466416666666667,3.72,23.01,0.55,2202,51,Simbad,1,candidate,50.7
83,159.20791666666665,-27.550555555555555,2.22,23.04,0.58,3474,56,Simbad,1,candidate,50.7
