object_id,name,ra,dec,g_mag,r_mag,re_pc,status
2015ApJ._0001,H27916,187.71521,12.2361,21.05,20.52,13.5,confirmed
2015ApJ._0002,H30401,187.82795,12.26247,21.59,21.06,11.3,confirmed
2015ApJ._0003,H36612,187.48603,12.32538,19.99,19.43,17.5,confirmed
2015ApJ._0004,H44905,187.73785,12.3944,21.92,21.37,22.3,confirmed
2015ApJ._0005,H55930,187.63929,12.49845,19.24,18.68,32.9,confirmed
2015ApJ._0006,S417,187.75616,12.32351,19.65,19.03,15.0,confirmed
2015ApJ._0007,S477,187.74961,12.3003,20.06,19.56,23.8,confirmed
2015ApJ._0008,S547,187.7391,12.42903,18.87,18.16,20.3,confirmed
2015ApJ._0009,S672,187.72804,12.36065,20.83,20.3,19.3,confirmed
2015ApJ._0010,S682,187.72775,12.33962,21.3,20.81,20.2,confirmed
2015ApJ._0011,S686,187.72421,12.47187,20.58,20.05,16.3,confirmed
2015ApJ._0012,S723,187.72399,12.3394,21.74,21.21,16.9,confirmed
2015ApJ._0013,S731,187.72452,12.28682,21.1,20.56,20.7,confirmed
2015ApJ._0014,S796,187.71563,12.34815,20.81,20.28,11.8,confirmed
2015ApJ._0015,S825,187.71263,12.35542,21.63,21.12,12.8,confirmed
2015ApJ._0016,S928,187.69875,12.40845,19.78,19.26,26.1,confirmed
2015ApJ._0017,S999,187.6913,12.41709,20.3,19.78,20.6,confirmed
2015ApJ._0018,S1201,187.67423,12.39478,21.18,20.66,14.5,confirmed
2015ApJ._0019,S1508,187.63087,12.42356,22.01,21.49,22.2,confirmed
2015ApJ._0020,S1629,187.61066,12.34572,20.38,19.81,18.0,confirmed
2015ApJ._0021,S5065,187.70854,12.40248,20.21,19.67,12.4,confirmed
2015ApJ._0022,S6004,187.79259,12.26697,21.32,20.87,0.6,confirmed
2015ApJ._0023,S8005,187.69252,12.40641,20.51,19.97,28.3,confirmed
2015ApJ._0024,S8006,187.69436,12.40616,20.53,19.99,1.0,confirmed
2015ApJ._0025,T15886,188.15205,12.3492,22.97,22.55,10.1,confirmed
2015ApJ._0026,VUCD1,187.53155,12.60861,19.05,18.51,12.3,confirmed
2015ApJ._0027,VUCD2,187.70085,12.58636,19.13,18.57,11.1,confirmed
2015ApJ._0028,VUCD4,187.76865,11.94347,19.14,18.64,17.8,confirmed
2015ApJ._0029,VUCD5,187.7995,12.68364,19.01,18.38,19.5,confirmed
2015ApJ._0030,VUCD6,187.86816,12.41766,19.32,18.76,13.1,confirmed
2015ApJ._0031,VUCD7,187.9704,12.26641,18.49,17.92,19.6,confirmed
2015ApJ._0032,VUCD9,188.06074,12.05149,19.45,18.9,17.5,confirmed
2015ApJ._0033,F6,187.69749,12.55047,19.46,18.86,17.4,confirmed
2015ApJ._0034,F12,187.76079,12.57058,19.79,19.28,18.2,confirmed
2015ApJ._0035,F16,188.37279,12.17151,20.57,20.05,12.2,confirmed
2015ApJ._0036,H18539,187.51687,12.12054,19.73,19.2,11.1,confirmed
2015ApJ._0037,H20718,187.58181,12.15683,21.08,20.58,11.0,confirmed
2015ApJ._0038,H24581,187.83334,12.19947,20.48,19.97,11.4,confirmed
2015ApJ._0039,H51655,187.94149,12.45586,21.34,20.86,12.1,confirmed
2015ApJ._0040,H59533,187.76536,12.53695,20.01,19.51,13.0,confirmed
2015ApJ._0041,H65115,187.48801,12.60081,20.27,19.79,12.8,confirmed
2015ApJ._0042,S41,187.81801,12.31261,20.94,20.41,26.2,confirmed
2015ApJ._0043,S323,187.76845,12.38923,20.67,20.19,33.7,confirmed
2015ApJ._0044,S376,187.75891,12.46381,20.65,20.15,23.4,confirmed
2015ApJ._0045,S804,187.71277,12.43663,19.67,19.07,13.5,confirmed
2015ApJ._0046,S991,187.69376,12.33826,20.79,20.25,15.5,confirmed
2015ApJ._0047,S1044,187.68891,12.34263,20.68,20.14,24.1,confirmed
2015ApJ._0048,S1301,187.66316,12.35901,20.72,20.11,13.6,confirmed
2015ApJ._0049,S1449,187.64218,12.37956,21.33,20.8,17.2,confirmed
2015ApJ._0050,S1504,187.63137,12.43405,20.3,19.75,14.7,confirmed
2015ApJ._0051,S1617,187.61207,12.39196,19.93,19.35,16.7,confirmed
2015ApJ._0052,S1631,187.6073,12.43919,20.46,19.93,13.5,confirmed
2015ApJ._0053,S6003,187.79226,12.27445,21.21,20.68,20.3,confirmed
2015ApJ._0054,S9053,187.70126,12.49469,21.39,20.89,30.2,confirmed
2015ApJ._0055,VUCD8,188.01813,12.34176,19.64,19.09,12.4,confirmed
2015ApJ._0056,VUCD10,187.62858,12.31157,19.73,19.18,15.4,confirmed
2015ApJ._0057,M87UCD-1,187.83029,12.37554,20.34,19.79,28.4,confirmed
2015ApJ._0058,M87UCD-2,187.69858,12.14034,19.73,19.25,23.6,confirmed
2015ApJ._0059,M87UCD-3,187.58354,11.92186,19.34,18.77,22.9,confirmed
2015ApJ._0060,M87UCD-4,187.59096,12.40067,19.93,19.29,11.7,confirmed
2015ApJ._0061,M87UCD-5,187.41829,12.4578,19.96,19.42,21.0,confirmed
2015ApJ._0062,M87UCD-6,187.51025,12.60938,20.21,19.69,15.0,confirmed
2015ApJ._0063,M87UCD-7,187.52525,12.66499,19.48,18.95,17.4,confirmed
2015ApJ._0064,M87UCD-8,187.43858,12.85025,20.51,19.99,12.1,confirmed
2015ApJ._0065,M87UCD-9,187.59571,12.53021,19.75,19.22,17.9,confirmed
