ID,NGVS,ra,dec,E(B-V),g_mag,u*-g,g-r,g-i,g-z,g-Ks,Deltaenv,UCD,SimbadName,is_ucd,confirmation_status,distance_mpc
1,J122623.21+121925.2,186.5966882,12.3236728,0.027,19.603,0.91,0.435,0.728,0.84,1.231,0.061,0,,1,candidate,16.5
2,J122628.69+125642.6,186.6195415,12.9451739,0.029,19.695,1.312,0.616,0.92,1.12,1.145,0.064,1,NGVS J122628.69+125642.6,1,candidate,16.5
3,J122633.05+123847.6,186.6377219,12.6465456,0.032,21.303,1.009,0.482,0.728,0.808,0.596,0.006,0,,1,candidate,16.5
4,J122636.42+125512.9,186.6517616,12.920247,0.028,18.947,1.354,0.622,0.944,1.152,1.226,0.0,1,NGVS J122636.42+125512.9,1,candidate,16.5
5,J122638.52+123702.7,186.6604821,12.6174078,0.032,20.575,1.041,0.498,0.753,0.825,0.617,-0.004,1,NGVS J122638.52+123702.7,1,candidate,16.5
6,J122638.79+124545.8,186.661636,12.762711,0.03,20.52,1.029,0.498,0.75,0.886,0.632,0.01,1,NGVS J122638.79+124545.8,1,candidate,16.5
7,J122643.32+121743.9,186.6804595,12.2955414,0.027,20.75,0.985,0.517,0.723,0.907,0.49,0.079,0,,1,candidate,16.5
8,J122646.48+131732.2,186.6936696,13.2922923,0.027,21.395,0.936,0.467,0.727,0.788,1.203,-0.006,0,,1,candidate,16.5
9,J122647.07+122714.0,186.6961017,12.4538766,0.03,19.541,1.122,0.631,0.964,1.108,0.981,0.406,0,,1,candidate,16.5
10,J122649.87+115931.8,186.7077996,11.992162,0.025,21.487,1.103,0.487,0.767,0.902,1.081,0.018,0,,1,candidate,16.5
11,J122656.56+123532.2,186.7356434,12.5922742,0.031,19.801,1.123,0.576,0.846,0.992,0.877,0.077,1,NGVS J122656.56+123532.2,1,candidate,16.5
12,J122708.43+132009.0,186.7850984,13.3358383,0.026,21.365,1.011,0.509,0.755,0.906,0.678,0.283,0,,1,candidate,16.5
13,J122726.54+131150.7,186.8605838,13.197416,0.031,20.907,0.965,0.441,0.767,0.851,0.912,0.028,0,,1,candidate,16.5
14,J122727.19+125546.0,186.8632841,12.9294426,0.028,21.012,0.958,0.478,0.718,0.804,0.55,-0.027,1,NGVS J122727.19+125546.0,1,candidate,16.5
15,J122729.00+131903.4,186.8708425,13.3176108,0.026,21.322,1.112,0.547,0.883,1.047,1.296,0.097,0,,1,candidate,16.5
16,J122745.56+124356.4,186.9398394,12.7323291,0.029,21.526,1.08,0.501,0.744,0.85,0.692,0.01,0,,1,candidate,16.5
17,J122804.51+121507.6,187.0187896,12.2521076,0.027,21.378,1.017,0.469,0.751,0.764,1.201,0.071,0,,1,candidate,16.5
18,J122806.62+122436.4,187.0275966,12.41011,0.028,20.941,1.022,0.521,0.721,0.828,0.629,0.018,0,,1,candidate,16.5
19,J122837.21+122845.6,187.1550495,12.4793425,0.024,21.014,1.045,0.53,0.747,0.885,0.68,0.014,1,NGVS J122837.21+122845.6,1,candidate,16.5
20,J122856.90+130220.5,187.2370664,13.0390265,0.022,21.342,0.953,0.514,0.725,0.855,0.588,0.084,1,NGVS J122856.90+130220.5,1,candidate,16.5
21,J122910.66+124304.1,187.294429,12.7178146,0.022,20.883,1.127,0.632,0.818,0.918,0.883,0.005,1,NGVS J122910.66+124304.1,1,candidate,16.5
22,J122914.82+113622.4,187.3117572,11.606234,0.034,21.22,0.893,0.404,0.723,0.918,1.372,-0.007,0,,1,candidate,16.5
23,J122914.87+115343.8,187.311941,11.8955165,0.027,20.189,1.047,0.539,0.79,0.925,0.753,0.058,1,NGVS J122914.87+115343.8,1,candidate,16.5
24,J122925.49+121835.8,187.3562019,12.3099218,0.024,20.838,1.135,0.476,0.756,0.88,1.039,0.041,0,,1,candidate,16.5
25,J122936.29+113708.5,187.401188,11.6190412,0.036,21.057,1.169,0.516,0.799,0.989,1.345,0.014,0,,1,candidate,16.5
26,J122937.04+130620.9,187.4043319,13.1058181,0.022,20.988,0.945,0.383,0.654,0.753,0.931,0.034,0,,1,candidate,16.5
27,J122937.93+114058.1,187.4080229,11.6828173,0.035,21.198,1.005,0.506,0.718,0.924,0.715,0.006,1,NGVS J122937.93+114058.1,1,candidate,16.5
28,J122940.39+122728.1,187.4182872,12.4577958,0.023,19.958,1.112,0.515,0.775,0.849,0.644,0.017,1,NGVS J122940.39+122728.1,1,candidate,16.5
29,J122941.32+123952.4,187.422179,12.6645688,0.021,20.255,1.161,0.509,0.791,0.971,0.82,0.049,1,NGVS J122941.32+123952.4,1,candidate,16.5
30,J122941.56+124427.6,187.4231465,12.7410002,0.022,20.948,1.179,0.584,0.848,1.012,0.93,-0.02,1,NGVS J122941.56+124427.6,1,candidate,16.5
31,J122942.29+131727.6,187.4261812,13.2910772,0.026,19.68,1.633,0.764,1.068,1.287,1.732,0.235,0,,1,candidate,16.5
32,J122945.26+125100.9,187.4385733,12.8502553,0.02,20.508,1.095,0.537,0.768,0.894,0.794,0.007,1,NGVS J122945.26+125100.9,1,candidate,16.5
33,J122947.20+121717.8,187.4466393,12.2882768,0.025,19.679,1.033,0.443,0.725,0.834,1.236,0.18,0,,1,candidate,16.5
34,J122950.93+123653.2,187.4621952,12.6147895,0.021,21.429,1.063,0.46,0.696,0.851,0.636,-0.022,0,,1,candidate,16.5
35,J122952.28+123737.8,187.467826,12.6271638,0.021,20.803,1.275,0.626,0.873,1.099,1.087,0.006,1,NGVS J122952.28+123737.8,1,candidate,16.5
36,J122952.41+123504.1,187.4683715,12.58447,0.022,19.746,1.055,0.491,0.692,0.902,0.662,0.07,1,NGVS J122952.41+123504.1,1,candidate,16.5
37,J122954.98+123350.9,187.4790895,12.5641282,0.022,20.617,1.003,0.484,0.703,0.862,0.615,0.043,1,NGVS J122954.98+123350.9,1,candidate,16.5
38,J122956.35+131312.1,187.4847166,13.2200542,0.024,20.002,1.018,0.575,0.751,0.798,0.591,0.135,0,,1,candidate,16.5
39,J122957.12+123602.9,187.4880095,12.6008171,0.022,20.266,0.997,0.474,0.719,0.866,0.59,-0.021,1,NGVS J122957.12+123602.9,1,candidate,16.5
40,J123001.95+124226.9,187.5081185,12.7074667,0.022,19.865,0.937,0.487,0.713,0.75,0.533,0.038,1,NGVS J123001.95+124226.9,1,candidate,16.5
41,J123002.46+123633.8,187.5102296,12.6093775,0.022,20.208,1.125,0.528,0.79,0.956,0.842,-0.01,1,NGVS J123002.46+123633.8,1,candidate,16.5
42,J123004.05+120714.0,187.5168687,12.1205496,0.028,19.732,1.085,0.533,0.795,0.878,0.648,0.008,1,NGVS J123004.05+120714.0,1,candidate,16.5
43,J123006.06+123954.0,187.5252451,12.664993,0.021,19.479,1.171,0.516,0.792,0.987,0.901,-0.017,1,NGVS J123006.06+123954.0,1,candidate,16.5
44,J123006.13+122435.3,187.5255256,12.4098184,0.026,20.594,1.208,0.544,0.849,0.944,0.91,-0.023,1,NGVS J123006.13+122435.3,1,candidate,16.5
45,J123007.57+123631.0,187.5315491,12.6086113,0.022,19.052,1.213,0.551,0.843,1.027,1.006,0.003,1,NGVS J123007.57+123631.0,1,candidate,16.5
