original_name,host_galaxy,ra,dec,RV,VMAG,rproj,reff,Ref,SimbadName,is_ucd,confirmation_status,distance_mpc
FCC47-UCD1,NGC 1336,51.637166666666666,-35.715583333333335,1509.7,-11.15,1.1,23.6,0,[FGH2019] FCC 47-UCD1,1,confirmed,20.0
"UCD3, F-19",NGC 1399,54.72541666666666,-35.55933333333333,1509.0,-13.4,45.1,89.74,1,[MHJ2008] F-19,1,confirmed,20.0
VUCD7,M87,187.97054166666666,12.266527777777778,985.0,-13.4,82.6,96.83,1,[JDJ2006] 7,1,confirmed,20.0
VUCD3,M87,187.73916666666665,12.42911111111111,713.0,-12.6,0.0,18.71,1,[JDJ2006] 3,1,confirmed,20.0
UCD1,NGC 1399,54.26374999999999,-35.63461111111111,0.0,-12.2,120.3,22.39,1,[DJG2000] UCO  1,1,confirmed,20.0
VUCD5,M87,187.79958333333335,12.683666666666667,1290.0,-12.3,88.2,17.91,1,[JDJ2006] 5,1,confirmed,20.0
F-24,NGC 1399,54.899583333333325,-35.4735,1902.0,-12.3,74.3,29.51,1,[MHJ2008] F-24,1,confirmed,20.0
VUCD4,M87,187.76879166666666,11.943555555555555,916.0,-12.3,130.1,21.98,1,[JDJ2006] 4,1,confirmed,20.0
S999,M87,187.69129166666664,12.417166666666667,1466.0,-11.1,8.5,19.1,1,[SFH81]  999,1,confirmed,20.0
UCD5,NGC 1399,54.96908333333333,-35.07336111111111,1245.0,-12.0,165.3,31.19,1,[DJG2000] UCO  5,1,confirmed,20.0
F-1a,NGC 1399,54.52624999999999,-35.483000000000004,1261.0,-12.2,28.0,23.12,1,[MHJ2008] F-1,1,confirmed,20.0
S490,M87,187.74708333333334,12.356388888888889,0.0,-11.0,0.0,3.6,1,[SFH81]  490,1,confirmed,20.0
F-9,NGC 1399,54.606249999999996,-35.62852777777778,1752.0,-11.4,59.4,9.1,1,[MHJ2008] F-9,1,confirmed,20.0
F-5,NGC 1399,54.544999999999995,-35.4295,1672.0,-11.8,22.0,5.0,1,[MHJ2008] F-5,1,confirmed,20.0
