KV19,ra,dec,gaia_dr3_id,gaia_aen,g_mag,gaia_bp_rp,u-r,r-z,rmag,Votes,CL,Rank,MIKE,is_ucd,confirmation_status,distance_mpc
KV19-001,198.276663062,-42.9938052793,1,2.16,18.01,2.02,1.03,-0.16,16.96,,0.01,E,,1,candidate,3.8
KV19-002,198.322490705,-43.5831975011,1,3.76,16.51,2.19,,,,,,D,,1,candidate,3.8
KV19-003,198.334218113,-43.1145928216,1,7.02,18.73,3.43,,,,,,D,,1,candidate,3.8
KV19-004,198.363842532,-43.735719947,1,8.24,18.34,3.48,,,,,,D,,1,candidate,3.8
KV19-005,198.364438062,-43.3824361219,1,8.82,14.58,1.41,,,,,,D,,1,candidate,3.8
KV19-006,198.368622804,-43.499623925,1,5.23,17.27,2.06,,,,,,D,,1,candidate,3.8
KV19-007,198.376762679,-43.1425739944,1,5.99,18.8,2.11,1.77,0.05,17.7,,0.06,E,,1,candidate,3.8
KV19-008,198.426764091,-42.2927609052,2,5.83,17.98,2.42,2.02,0.07,16.75,,0.01,E,,1,candidate,3.8
KV19-009,198.455043937,-42.3597190793,1,8.64,18.27,1.73,,,,,,D,,1,candidate,3.8
KV19-010,198.478704905,-43.8880054701,1,10.57,18.98,4.27,,,,,,D,,1,candidate,3.8
KV19-011,198.4954062,-43.2892245025,1,1.39,16.11,1.48,1.4,-0.39,15.06,,0.0,E,,1,candidate,3.8
KV19-012,198.501286333,-43.9987568576,1,13.73,18.39,3.93,,,,,,D,,1,candidate,3.8
KV19-013,198.539680319,-42.4961173937,1,6.69,18.61,3.5,,,,,,D,,1,candidate,3.8
KV19-014,198.553502769,-44.0390412833,1,14.45,18.23,4.61,,,,,,D,,1,candidate,3.8
KV19-015,198.563355535,-42.9490771756,1,14.84,18.95,4.48,,,,,,D,,1,candidate,3.8
KV19-016,198.600420855,-42.2555718082,1,6.05,15.07,1.98,,,,,,D,,1,candidate,3.8
KV19-017,198.621532553,-43.1272970474,1,2.77,17.23,2.85,,,,,,D,,1,candidate,3.8
KV19-018,198.626433578,-44.0761584489,1,10.87,18.99,4.2,,,,,,D,,1,candidate,3.8
KV19-019,198.626936934,-41.9521825804,1,2.96,17.6,1.86,1.42,-0.11,16.55,2.5,0.0,D,,1,candidate,3.8
