object_id,name,ra,dec,g_mag,r_mag,re_pc,status
2021MNRA_0001,,54.725053,-35.55917,19.28,18.28,139.0,candidate
2021MNRA_0002,,54.521031,-35.402635,19.37,18.59,43.6,candidate
2021MNRA_0003,,54.899671,-35.473493,19.74,19.16,43.9,candidate
2021MNRA_0004,,54.526217,-35.482959,19.86,19.14,37.5,candidate
2021MNRA_0005,,54.526217,-35.482959,19.86,19.14,37.5,candidate
2021MNRA_0006,,54.26342,-35.634596,19.96,19.19,35.0,candidate
2021MNRA_0007,,54.543115,-35.40161,20.01,19.26,15.3,candidate
2021MNRA_0008,,54.968865,-35.073333,20.02,19.45,38.0,candidate
2021MNRA_0009,,54.598855,-35.230413,20.14,19.56,18.3,candidate
2021MNRA_0010,,54.431452,-35.380941,20.2,19.6,25.5,candidate
2021MNRA_0011,,54.674734,-35.553631,20.22,19.5,21.8,candidate
2021MNRA_0012,,54.115401,-35.237195,20.23,19.33,31.8,candidate
2021MNRA_0013,,54.835463,-35.320612,20.3,19.68,38.1,candidate
2021MNRA_0014,,54.835463,-35.320612,20.3,19.68,38.1,candidate
2021MNRA_0015,,54.620751,-35.382228,20.35,19.7,10.8,candidate
2021MNRA_0016,,54.527072,-35.384341,20.38,19.8,23.8,candidate
2021MNRA_0017,,54.092647,-35.609463,20.4,19.85,38.8,candidate
2021MNRA_0018,,54.353505,-35.602685,20.44,19.79,35.1,candidate
2021MNRA_0019,,54.544727,-35.429441,20.45,19.43,30.6,candidate
2021MNRA_0020,,54.364827,-35.503483,20.47,19.82,19.5,candidate
2021MNRA_0021,,54.57831,-35.530892,20.48,19.74,57.6,candidate
2021MNRA_0022,,55.103749,-35.110315,20.52,20.11,38.5,candidate
2021MNRA_0023,,54.618164,-35.427308,20.52,19.78,24.7,candidate
2021MNRA_0024,,54.569415,-35.339606,20.55,19.85,32.0,candidate
2021MNRA_0025,,54.569415,-35.339606,20.55,19.85,32.0,candidate
2021MNRA_0026,,54.238543,-35.499156,20.59,19.82,23.5,candidate
2021MNRA_0027,,54.606425,-35.628494,20.59,19.8,27.6,candidate
2021MNRA_0028,,54.93133,-35.449814,20.6,20.09,45.6,candidate
2021MNRA_0029,,54.65351,-35.46927,20.61,20.09,32.9,candidate
2021MNRA_0030,,54.823645,-35.425023,20.64,19.9,23.6,candidate
2021MNRA_0031,,54.894799,-35.89562,20.65,20.04,32.7,candidate
2021MNRA_0032,,54.052844,-35.319838,20.66,20.36,15.2,candidate
2021MNRA_0033,,54.743685,-35.441122,20.68,20.12,34.4,candidate
2021MNRA_0034,,54.734115,-35.413574,20.7,20.03,35.4,candidate
