canonical_object_id,target_ra,target_dec,classification_state,classification_subtype,query_radius_arcsec,association_method,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,ipd_frac_multi_peak,ipd_frac_odd_win,duplicated_source,gaia_dr3_id,dist_arcsec,within_query_radius,match_quality,match_status
canonical_008ba73101db5ee2b8d83a648dd48c7d,201.115748674,-40.7497465192,candidate,,1.0,canonical_literature_gaia_dr3_id,6137252049710706944,201.1157481589531,-40.74974655914782,18.083221435546875,17.730804443359375,16.72720718383789,0.8731537197957504,0.26311901211738586,-2.4963560043593764,0.2592029869556427,0.3384253056319622,0.2006099969148636,0.5117679834365845,1.5832370519638062,1.3672510385513306,66,53,0,6137252049710706944,0.0014120014744073651,True,within_radius,matched_by_source_id
canonical_00ae5b07b9cf5390ba173953832e14ec,201.296298271,-43.5092116773,confirmed,,1.0,canonical_literature_gaia_dr3_id,6088628377060839424,201.29629841161508,-43.509211697860735,18.4495849609375,18.07523536682129,16.665302276611328,-0.4681837965359202,0.3531459867954254,0.4633396575182062,0.3577269911766052,0.1605565971223251,0.38440999388694763,2.2358479499816895,23.25869369506836,1.6626360416412354,0,0,0,6088628377060839424,0.00037452592721357513,True,within_radius,matched_by_source_id
canonical_012f9a211a1e561d8471e8bb71b75aad,204.077299851,-43.5154966503,candidate,,1.0,canonical_literature_gaia_dr3_id,6111720221490640384,204.07729682927217,-43.5154956497732,17.785083770751953,18.224071502685547,16.777502059936523,,,,,,,14.128249168395996,3024.20703125,,41,2,0,6111720221490640384,0.008672147299446709,True,within_radius,matched_by_source_id
canonical_017f18a4a770537ebc2e65c63f109b19,186.6195415,12.9451739,confirmed,,1.0,canonical_literature_gaia_dr3_id,3908714122498121088,186.6195355243669,12.945163835159947,20.081209182739258,19.560443878173828,18.474828720092773,1.9483806672735215,1.5249099731445312,1.2424021245017567,1.2802319526672363,-3.1002480034250794,1.3734949827194214,5.704712867736816,10.577312469482422,1.4685100317001343,0,0,0,3908714122498121088,0.04186185602678079,True,within_radius,matched_by_source_id
canonical_01f55d2210ab5534b567067f3f832b08,54.66837,-35.479851,rejected,,1.0,canonical_literature_gaia_dr3_id,4860386756833433344,54.668403249977004,-35.47983311163231,21.197452545166016,21.14427375793457,19.978981018066406,,,,,,,12.860939025878906,6.239712238311768,,0,0,0,4860386756833433344,0.11682594243124263,True,within_radius,matched_by_source_id
canonical_01fcf2bb3320558fad2db8f6d079a1b3,200.205295171,-41.3284643328,candidate,,1.0,canonical_literature_gaia_dr3_id,6137129144928562816,200.20529483234154,-41.32846366510779,16.783313751220703,16.875335693359375,15.864724159240723,0.8424896769558161,0.24751299619674683,-1.3070027677999998,0.22944100201129913,-0.9633771360124264,0.2870419919490814,1.6367019414901733,114.4278335571289,2.6434810161590576,16,0,0,6137129144928562816,0.0025721412203524676,True,within_radius,matched_by_source_id
canonical_020dc93c0c9854798fb45601e80b2ee9,200.989194544,-44.4346553796,candidate,,1.0,canonical_literature_gaia_dr3_id,6088376799351639424,200.98919331757722,-44.434655056521,17.8569393157959,17.455097198486328,16.038122177124023,0.1275915734525525,0.16131800413131714,-5.797051429219334,0.16326500475406647,2.6836197026954225,0.13854900002479553,0.49317899346351624,2.2727270126342773,1.0964150428771973,10,0,0,6088376799351639424,0.003360319439250933,True,within_radius,matched_by_source_id
canonical_02c1ead949b2596684e00b596ff25b66,200.076340717,-44.1817110759,candidate,,1.0,canonical_literature_gaia_dr3_id,6088221179802010496,200.07634130275596,-44.18171158402989,16.482147216796875,16.29692268371582,15.404338836669922,,,,,,,8.599109649658203,4493.439453125,,62,2,0,6088221179802010496,0.002373409286670728,True,within_radius,matched_by_source_id
canonical_02e80b573d4b5ec2a391662ab5b24c57,200.39507832,-42.0174379411,candidate,,1.0,canonical_literature_gaia_dr3_id,6137028333456725248,200.3950761346322,-42.01743554060238,18.510231018066406,18.353267669677734,17.312679290771484,7.486690994345194,0.8606150150299072,-6.828418092348393,0.8746799826622009,2.516758371865082,0.7728970050811768,5.585928916931152,171.21067810058594,4.164229869842529,58,0,0,6137028333456725248,0.010432837746457424,True,within_radius,matched_by_source_id
canonical_0347e58bf794528b9a2c6be8176e3dcb,187.5835,11.921875,confirmed,,1.0,canonical_literature_gaia_dr3_id,3907655773836976896,187.58349095382567,11.921880550630702,20.620800018310547,19.263935089111328,18.22175407409668,,,,,,,21.08095932006836,79.3844985961914,,5,0,0,3907655773836976896,0.037611056833396495,True,within_radius,matched_by_source_id
