bibcode,year,title,first_author,doi,has_ads_data_property,category,priority,decision,reason,data_access_status
2015A&A...579L...3L,2015,The build-up of the cD halo of M 87: evidence for accretion in the last Gyr,"Longobardi, A.",10.1051/0004-6361/201526282,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015ApJ...802...30Z,2015,The Next Generation Virgo Cluster Survey. VI. The Kinematics of Ultra-compact Dwarfs and Globular Clusters in M87,"Zhang, Hong-Xin",10.1088/0004-637X/802/1/30,1,nearby_reference_data,high,include,Missing spectroscopic M87 UCD dataset already present as a processed CSV,retrieved_vizier
2015ApJ...804...70G,2015,"The Next Generation Virgo Cluster Survey. XII. Stellar Populations and Kinematics of Compact, Low-mass Early-type Galaxies from Gemini GMOS-IFU Spectroscopy","Guérou, Adrien",10.1088/0004-637X/804/1/70,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015ApJ...806..133L,2015,A Gemini/GMOS Study of Intermediate Luminosity Early-type Virgo Cluster Galaxies. I. Globular Cluster and Stellar Kinematics,"Li, Biao",10.1088/0004-637X/806/1/133,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015ApJ...807...88G,2015,The Next Generation Virgo Cluster Survey. IX. Estimating the Efficiency of Galaxy Formation on the Lowest-mass Scales,"Grossauer, Jonathan",10.1088/0004-637X/807/1/88,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015ApJ...809L..21M,2015,Galaxies at the Extremes: Ultra-diffuse Galaxies in the Virgo Cluster,"Mihos, J. Christopher",10.1088/2041-8205/809/2/L21,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015ApJ...812...34L,2015,"The Next Generation Virgo Cluster Survey. X. Properties of Ultra-compact Dwarfs in the M87, M49, and M60 Regions.","Liu, Chengze",10.1088/0004-637X/812/1/34,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015ApJ...812L...2L,2015,The Most Massive Ultra-compact Dwarf Galaxy in the Virgo Cluster,"Liu, Chengze",10.1088/2041-8205/812/1/L2,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015ApJ...813L..15M,2015,Unveiling a Rich System of Faint Dwarf Galaxies in the Next Generation Fornax Survey,"Muñoz, Roberto P.",10.1088/2041-8205/813/1/L15,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015MNRAS.450.1962P,2015,A SLUGGS and Gemini/GMOS combined study of the elliptical galaxy M60: wide-field photometry and kinematics of the globular cluster system,"Pota, Vincenzo",10.1093/mnras/stv677,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015MNRAS.450.3345P,2015,The SLUGGS survey: multipopulation dynamical modelling of the elliptical galaxy NGC 1407 from stars and globular clusters,"Pota, Vincenzo",10.1093/mnras/stv831,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015MNRAS.452.2208A,2015,The SLUGGS survey: globular cluster kinematics in a `double sigma' galaxy - NGC 4473,"Alabi, Adebusola B.",10.1093/mnras/stv1426,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2015arXiv151107514R,2015,Mapping out the origins of compact stellar systems,"Romanowsky, Aaron J.",10.48550/arXiv.1511.07514,0,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016A&A...585A...2B,2016,The GALEX Ultraviolet Virgo Cluster Survey (GUViCS). VI. The UV luminosity function of the Virgo cluster and its surrounding regions,"Boselli, A.",10.1051/0004-6361/201526915,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016A&A...586A.102V,2016,Globular cluster clustering and tidal features around ultra-compact dwarf galaxies in the halo of NGC 1399,"Voggel, Karina",10.1051/0004-6361/201527070,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJ...819..124L,2016,The Next Generation Virgo Cluster Survey. XIX. Tomography of Milky Way Substructures in the NGVS Footprint,"Lokhorst, Deborah",10.3847/0004-637X/819/2/124,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJ...819..162P,2016,A Comprehensive Archival Chandra Search for X-Ray Emission from Ultracompact Dwarf Galaxies,"Pandya, Viraj",10.3847/0004-637X/819/2/162,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJ...819..164H,2016,Chandra Detection of X-Ray Emission from Ultracompact Dwarf Galaxies and Extended Star Clusters,"Hou, Meicun",10.3847/0004-637X/819/2/164,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJ...820...69S,2016,"The Next Generation Virgo Cluster Survey. VII. The Intrinsic Shapes of Low-luminosity Galaxies in the Core of the Virgo Cluster, and a Comparison with the Local Group","Sánchez-Janssen, Rubén",10.3847/0004-637X/820/1/69,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJ...822...51T,2016,The Next Generation Virgo Cluster Survey XVI: The Angular Momentum of Dwarf Early-type Galaxies from Globular Cluster Satellites,"Toloba, Elisa",10.3847/0004-637X/822/1/51,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJ...824...10F,2016,The Next Generation Virgo Cluster Survey (NGVS). XIII. The Luminosity and Mass Function of Galaxies in the Core of the Virgo Cluster and the Contribution from Disrupted Satellites,"Ferrarese, Laura",10.3847/0004-637X/824/1/10,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJ...829...44L,2016,The Next Generation Virgo Cluster Survey. XX. RedGOLD Background Galaxy Cluster Detections,"Licitra, Rossella",10.3847/0004-637X/829/1/44,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJ...830...99L,2016,The ACS Fornax Cluster Survey. XII. Diffuse Star Clusters in Early-type Galaxies,"Liu, Yiqing",10.3847/0004-637X/830/2/99,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJ...831..108L,2016,"Globular Clusters, Ultracompact Dwarfs, and Dwarf Galaxies in Abell 2744 at a Redshift of 0.308","Lee, Myung Gyoon",10.3847/0004-637X/831/1/108,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016ApJS..227...12P,2016,The Next Generation Virgo Cluster Survey (NGVS). XXV. Fiducial Panchromatic Colors of Virgo Core Globular Clusters and Their Comparison to Model Predictions,"Powalka, Mathieu",10.3847/0067-0049/227/1/12,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016IAUS..312..264Z,2016,Origin of ultra-compact dwarfs: a dynamical perspective,"Zhang, Hong-Xin",10.1017/S1743921315008005,0,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016IAUS..317...27M,2016,Intragroup and Intracluster Light,"Mihos, J. Christopher",10.1017/S1743921315006857,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016IAUS..317..153P,2016,"Globular Clusters, Dwarf Galaxies, and the Assembly of the M87 Halo","Peng, Eric W.",10.1017/S1743921315009837,0,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016IAUTA..29..502C,2016,Highlights of Commission 37 Science Results,"Carraro, Giovanni",10.1017/S174392131600096X,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016MNRAS.456..617J,2016,The AIMSS Project - III. The stellar populations of compact stellar systems,"Janz, Joachim",10.1093/mnras/stv2636,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016MNRAS.458.2492P,2016,Constraining ultracompact dwarf galaxy formation with galaxy clusters in the local universe,"Pfeffer, J.",10.1093/mnras/stw498,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016MNRAS.459.4450W,2016,Peculiar compact stellar systems in the Fornax cluster,"Wittmann, Carolin",10.1093/mnras/stw827,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2016MNRAS.462.4001Z,2016,"A discrete chemo-dynamical model of the giant elliptical galaxy NGC 5846: dark matter fraction, internal rotation, and velocity anisotropy out to six effective radii","Zhu, Ling",10.1093/mnras/stw1931,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017A&A...599L...8F,2017,First confirmed ultra-compact dwarf galaxy in the NGC 5044 group,"Faifer, Favio R.",10.1051/0004-6361/201730493,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017ApJ...835..123L,2017,Globular Clusters as Tracers of Fine Structure in the Dramatic Shell Galaxy NGC 474,"Lim, Sungsoon",10.3847/1538-4357/835/2/123,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017ApJ...835..212K,2017,To the Edge of M87 and Beyond: Spectroscopy of Intracluster Globular Clusters and Ultracompact Dwarfs in the Virgo Cluster,"Ko, Youkyung",10.3847/1538-4357/835/2/212,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017ApJ...835L...2Z,2017,M32 Analogs? A Population of Massive Ultra-compact Dwarf and Compact Elliptical Galaxies in Intermediate-redshift Clusters,"Zhang, Yuanyuan",10.3847/2041-8213/835/1/L2,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017ApJ...836..120R,2017,The Next Generation Virgo Cluster Survey (NGVS). XXIV. The Red Sequence to ~10<SUP>6</SUP> L <SUB>☉</SUB> and Comparisons with Galaxy Formation Models,"Roediger, Joel C.",10.3847/1538-4357/836/1/120,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017ApJ...836..147L,2017,"Erratum: ""The Next Generation Virgo Cluster Survey. X. Properties of Ultra-compact Dwarfs in the M87, M49, and M60 Regions"" (<A href=""https://doi.org/10.1088/0004-637x/812/1/34"">2015, APJ, 812, 34</A>)","Liu, Chengze",10.3847/1538-4357/836/1/147,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017ApJ...839L..17J,2017,Ultra-diffuse and Ultra-compact Galaxies in the Frontier Fields Cluster Abell 2744,"Janssens, Steven",10.3847/2041-8213/aa667d,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017ApJ...848..114P,2017,Next Generation Virgo Cluster Survey. XXI. The Weak Lensing Masses of the CFHTLS and NGVS RedGOLD Galaxy Clusters and Calibration of the Optical Richness,"Parroni, Carolina",10.3847/1538-4357/aa8b6c,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017ApJ...849...55S,2017,Virgo Redux: The Masses and Stellar Content of Nuclei in Early-type Galaxies from Multiband Photometry and Spectroscopy,"Spengler, Chelsea",10.3847/1538-4357/aa8a78,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017IAUS..316..105R,2017,Mapping out the origins of compact stellar systems,"Romanowsky, Aaron J.",10.1017/S1743921315010662,0,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017MNRAS.464.2090R,2017,Multiphase environment of compact galactic nuclei: the role of the nuclear star cluster,"Różańska, A.",10.1093/mnras/stw2460,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017MNRAS.468.3949A,2017,The SLUGGS survey: dark matter fractions at large radii and assembly epochs of early-type galaxies from globular cluster kinematics,"Alabi, Adebusola B.",10.1093/mnras/stx678,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017MNRAS.468.4513M,2017,Ages and structural and dynamical parameters of two globular clusters in the M81 group,"Ma, Jun",10.1093/mnras/stx761,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2017arXiv170504332L,2017,The Next Generation Virgo Cluster Survey. XX. RedGOLD Background Galaxy Cluster Detections,"Licitra, Rossella",10.48550/arXiv.1705.04332,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2018A&A...620A.111L,2018,Kinematics of the outer halo of M 87 as mapped by planetary nebulae⋆,"Longobardi, A.",10.1051/0004-6361/201832729,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2018ApJ...855..142E,2018,The Next Generation Fornax Survey (NGFS). II. The Central Dwarf Galaxy Population,"Eigenthaler, Paul",10.3847/1538-4357/aaab60,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2018ApJ...858...37Z,2018,Stellar Population Properties of Ultracompact Dwarfs in M87: A Mass-Metallicity Correlation Connecting Low-metallicity Globular Clusters and Compact Ellipticals,"Zhang, Hong-Xin",10.3847/1538-4357/aab88a,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2018ApJ...863..130W,2018,The SLUGGS Survey: The Inner Dark Matter Density Slope of the Massive Elliptical Galaxy NGC 1407,"Wasserman, Asher",10.3847/1538-4357/aad236,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2018ApJ...864...36L,2018,The Next Generation Virgo Cluster Survey (NGVS). XXXI. The Kinematics of Intracluster Globular Clusters in the Core of the Virgo Cluster,"Longobardi, Alessia",10.3847/1538-4357/aad3d2,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2018ApJ...865...40L,2018,The Active Assembly of the Virgo Cluster: Indications for Recent Group Infall From Early-type Dwarf Galaxies,"Lisker, Thorsten",10.3847/1538-4357/aadae1,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2018MNRAS.473.5446V,2018,The MASSIVE survey - VIII. Stellar velocity dispersion profiles and environmental dependence of early-type galaxies,"Veale, Melanie",10.1093/mnras/stx2717,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2019A&A...628A..92F,2019,Constraining nuclear star cluster formation using MUSE-AO observations of the early-type galaxy FCC 47,"Fahrion, Katja",10.1051/0004-6361/201935832,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2019ApJ...871..159V,2019,The Impact of Stripped Nuclei on the Supermassive Black Hole Number Density in the Local Universe,"Voggel, Karina T.",10.3847/1538-4357/aaf735,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2019ApJ...878...18S,2019,The Next Generation Virgo Cluster Survey. XXIII. Fundamentals of Nuclear Star Clusters over Seven Decades in Galaxy Mass,"Sánchez-Janssen, Rubén",10.3847/1538-4357/aaf4fd,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2019ApJ...885..145S,2019,The Next Generation Virgo Cluster Survey. XVII. A Search for Planetary Nebulae in Virgo Cluster Globular Clusters,"Sun, Weijia",10.3847/1538-4357/ab49fb,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2019IAUS..344....3H,2019,The Future of Dwarf Galaxy Research: What Telescopes Will Discover,"Haynes, Martha P.",10.1017/S1743921319000073,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2019MNRAS.482.2978A,2019,Globular cluster populations and the kinematical fingerprints of minor mergers,"Amorisco, N. C.",10.1093/mnras/sty2927,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2019MNRAS.488.5400N,2019,Is there a fundamental upper limit to the mass of a star cluster?,"Norris, Mark A.",10.1093/mnras/stz2096,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2020A&A...634A..53F,2020,Metal-poor nuclear star clusters in two dwarf galaxies near Centaurus A suggesting formation from the in-spiraling of globular clusters,"Fahrion, Katja",10.1051/0004-6361/201937120,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2020A&A...637A..26F,2020,The Fornax 3D project: Globular clusters tracing kinematics and metallicities,"Fahrion, K.",10.1051/0004-6361/202037685,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2020A&A...637A..27F,2020,The Fornax 3D project: Non-linear colour-metallicity relation of globular clusters,"Fahrion, K.",10.1051/0004-6361/202037686,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2020A&A...639A.136C,2020,The Fornax Deep Survey with VST. IX. Catalog of sources in the FDS area with an example study for globular clusters and background galaxies,"Cantiello, Michele",10.1051/0004-6361/202038137,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2020ApJ...899...69L,2020,The Next Generation Virgo Cluster Survey (NGVS). XXX. Ultra-diffuse Galaxies and Their Globular Cluster Systems,"Lim, Sungsoon",10.3847/1538-4357/aba433,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2020ApJ...900...95V,2020,The Assembly History of M87 through Radial Variations in Chemical Abundances of Its Field Star and Globular Cluster Populations,"Villaume, Alexa",10.3847/1538-4357/aba616,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2020ApJS..250...17L,2020,The Next Generation Virgo Cluster Survey. XXXIV. Ultracompact Dwarf Galaxies in the Virgo Cluster,"Liu, Chengze",10.3847/1538-4365/abad91,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
