field_id,ra,dec,n_total_candidates,n_model_c,density,status,glon,glat
2,218.31333841344855,20.894772509844845,1683,953,476.5,success,23.426650569399477,65.97660142251684
1,255.92602408569755,31.204909457541024,3848,1976,988.0,success,53.38845502984741,35.524149107160824
0,288.94717051965677,-40.666880723055314,15181,5499,2749.5,success,357.1659398867204,-21.637776751937988
3,193.01938033762863,-32.95426914613696,4708,2358,1179.0,success,303.086728254937,29.91728618896117
4,241.79098719457417,-21.460883887953525,12915,5248,2624.0,success,352.1900286477655,22.1678052142554
5,312.2562100528461,0.8032674386259189,8308,3946,1973.0,success,48.10672072123799,-25.49414111689922
6,278.8102869603029,-67.94817874064562,10746,5806,2903.0,success,327.0383901338906,-23.51764407714005
7,167.91964898148711,22.843186471238987,1163,584,292.0,success,218.15659260887415,67.0320266805413
8,146.8006902675331,18.36205043378772,1549,833,416.5,success,214.60334796575268,46.86799711973906
9,120.38944480656016,33.45573963434823,2840,1424,712.0,success,187.63231235134603,28.36151534530822
10,259.6644717547914,7.273314642163302,9988,4913,2456.5,success,28.82455236635785,23.918733678435363
11,322.75322414394566,-84.0555855315407,4880,2495,1247.5,success,308.2418622374711,-30.84029527217926
12,312.49652951773066,-78.29989452495813,4750,2406,1203.0,success,314.9808027598768,-32.395305280913135
14,327.0471260740221,-25.908096203732697,2698,1488,744.0,success,23.860725754198302,-49.219538981827775
13,21.394830192106088,39.578845529513245,3980,2029,1014.5,success,130.06118790848154,-22.819815514165324
15,123.08562389132663,22.575177349221313,3063,1635,817.5,success,200.1793285599643,27.333305174851013
17,83.09782694540877,-49.659506085276526,3191,1674,837.0,success,256.45390210871886,-32.843413075577025
16,358.86085869479894,20.009709729886698,2074,1150,575.0,success,105.41772960743084,-40.94995930642943
18,2.5138488682873383,-9.95887996142492,1477,789,394.5,success,91.3658611543166,-70.25155490770514
19,172.1895808947421,9.190295864771617,1251,656,328.0,success,251.61680306026528,63.487514283959605
20,276.3258950169606,79.77518976020815,3804,1981,990.5,success,111.42955628774472,27.821490470698873
21,235.924705208919,23.3604372035493,1945,1025,512.5,success,37.22602949860904,51.0514259490974
23,142.1689921964284,-12.744480020228012,3268,1797,898.5,success,245.28631521652073,26.700946840183217
22,130.70989383596023,35.36439160407466,2024,1136,568.0,success,187.5956778349233,37.08276237661845
24,152.33571594907323,21.700215785626263,1428,796,398.0,success,212.26503797399877,52.86060189158248
25,252.83718063811173,53.64243222440541,2602,1392,696.0,success,81.49677434550573,39.13865040266528
26,238.043051891612,48.19011268432538,2086,1142,571.0,success,76.45280847300495,49.29409159985709
27,213.44870166301857,30.91314930332089,1375,750,375.0,success,49.71580603085116,71.63103921578211
28,336.77039403038316,-45.21110537974791,2047,1070,535.0,success,351.05501713295405,-56.12853144913265
29,264.8443848062805,31.811053826443587,5397,2673,1336.5,success,56.30700770636217,28.311068399941913
30,345.922258097152,23.20301837023025,2669,1452,726.0,success,93.038229635986,-33.339404290672874
33,16.455554105080786,-13.858563869196896,1454,822,411.0,success,137.84450444918835,-76.31209372110024
31,66.53211392015297,-10.994955905209522,2028,1176,588.0,success,206.05188471877736,-37.1940057909129
32,303.10530223839737,-45.172311760177585,5932,2662,1331.0,success,354.7598023286752,-32.71875325039562
34,186.10479851551383,-40.67325812396792,7970,3952,1976.0,success,297.41438140655754,21.90885008939325
36,155.47198813691338,-17.484855970750143,2537,1283,641.5,success,259.55666974165797,32.511115287852306
35,89.86765910700066,-30.51029877756788,4497,2371,1185.5,success,236.34611142100715,-23.820732011017355
37,192.76545489044264,-8.529355577383626,1949,949,474.5,success,302.7724184587453,54.34227552934784
38,181.17335301561891,26.0502811003457,1261,679,339.5,success,216.1782824367542,79.49826105333253
40,193.45345046383864,27.03250667871643,1114,639,319.5,success,22.805337634154128,89.46254878054638
39,328.8063490836164,-68.32519697486414,3377,1818,909.0,success,322.9203277013726,-41.298604008616486
41,250.15437303802267,10.108019603268184,4672,2396,1198.0,success,26.98081028045078,33.60316498033048
42,235.6569173018316,36.20907166552448,2047,1160,580.0,success,57.94529546582047,52.7762689598221
44,186.24374595485983,-38.8963719391259,6769,3306,1653.0,success,297.31283668110655,23.686477831901385
45,65.89622369627966,1.601143768793114,2170,1167,583.5,success,192.4118038030831,-31.480098637934965
43,330.1607547527287,-44.88852216688011,2508,1349,674.5,success,353.81648987458163,-51.73952757403835
46,74.35789136270608,-13.16210796232649,2593,1409,704.5,success,212.31493214724225,-31.15541770011954
49,174.49151597586095,-9.297254788939666,1878,1012,506.0,success,274.35198723283656,49.453831326086345
47,142.00594549989444,41.903705897232925,1776,1081,540.5,success,179.5623782461518,46.27891609584526
48,175.29302645148405,-30.46655104223624,3589,1930,965.0,success,285.4497455150535,30.0086982605748
50,181.45101734870877,18.97825989962417,1341,687,343.5,success,248.39616786638544,76.7231609528252
52,225.239495769604,15.654272256765644,1894,1037,518.5,success,18.714186092659357,57.86185972659314
51,115.29952831353356,67.27642175408685,2880,1887,943.5,success,148.655798762722,29.646571578205513
