source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,pmra,pmra_error,pmdec,pmdec_error,ruwe,classprob_dsc_combmod_galaxy,model_c_score,radius_kpc
3528212558744857984,189.64715510705759,-13.10099718651749,20.16302,18.599506,17.161804,1.4377022,8.31256,84.58224,9.73988,,,,,,1.0,1.000000011920929,252.85862066021895
3528275295331428352,189.06453296519604,-12.896084173200126,20.745625,20.54444,20.055689,0.48875046,3.4386702,2.1148262,1.6675284,,,,,,0.00015489005,0.6079421479064253,260.99458204135243
3528469530932297728,188.67264737580584,-12.815973306285292,20.941666,19.846888,18.32557,1.5213184,9.995063,13.626674,6.6721954,,,,,,0.0394407,1.000000011920929,293.460773698286
3528483416562566784,188.65926483938892,-12.680453139724724,20.485863,19.118618,18.00256,1.1160583,5.195132,8.943997,6.6999435,-0.37283149856294606,1.3957363,0.1028540430903349,1.1547407,1.3121442,1.0,1.0000000119197854,280.38820238215726
3528499630063374208,188.80718740309183,-12.363345959599897,20.84528,20.067232,18.392878,1.6743546,12.386821,33.39415,5.513637,,,,,,0.0029418077,1.000000011920929,229.98810214697198
3528542755831347456,188.46477513816177,-12.389232034619566,20.301184,19.27549,17.597647,1.6778431,9.373312,29.304956,6.9425163,,,,,,1.0,1.000000011920929,280.6404308275665
3528545607689632768,188.61494967036558,-12.386735636337887,16.475548,16.95095,14.630093,2.320858,1.2850242,30.983301,2.7715993,,,,,,0.0,0.9000000119209289,258.8745446177284
3528551581987836032,188.6520967237307,-12.228744938849806,20.231163,18.52461,16.993248,1.5313625,13.505195,68.41383,11.797865,,,,,,1.0,1.000000011920929,241.5378084048105
3528937579288741632,190.38737855527296,-13.232201087069418,20.653692,19.018917,17.59786,1.4210567,12.148784,34.242935,10.292098,,,,,,1.0,1.000000011920929,275.6055492949664
3528950017513695360,190.1205144819244,-13.162201874196068,20.81712,19.720236,18.043446,1.6767902,13.443585,28.495155,7.4077263,,,,,,1.0,1.000000011920929,257.31654858891227
3528954832171848832,190.1261120661125,-13.040892307744864,20.252676,18.614492,17.190266,1.4242268,12.663595,48.66008,10.345036,,,,,,1.0,1.000000011920929,237.24223642887284
3528956309641405184,190.1470184478984,-13.041053791612828,19.456652,17.869608,16.335493,1.5341148,7.2702346,62.81563,10.587066,,,,,,1.0,1.000000011920929,237.59339358926587
3528959260283872384,190.52481824686166,-13.144268148107889,20.812439,20.855688,19.881626,0.97406197,3.395004,1.9772573,1.6889563,,,,,,4.310909e-05,0.6879303766977406,267.6800287215364
3528971290488445696,190.69092428007576,-12.948773632247415,20.827185,19.63886,17.855133,1.7837276,20.39011,48.237835,8.668487,,,,,,0.92059183,1.000000011920929,248.13948602269156
3528976135210355584,190.32293495094683,-13.032961369658635,20.984808,20.605196,19.556679,1.0485172,3.588456,1.6066619,2.5971873,,,,,,9.072323e-06,0.6082209498921651,240.89197739556727
3529019875156795392,191.28987035756938,-12.858295676340306,20.090534,17.010735,15.838063,1.1726713,1.700249,1.5256473,33.515198,,,,,,6.0433078e-05,0.5905745332424642,294.436397412033
3529022280340098432,191.2731958976184,-12.808279492740322,20.355947,19.309435,17.804617,1.504818,13.022183,91.98456,6.314504,,,,,,1.0,1.000000011920929,286.7086708174832
3529046430939888768,191.387543688818,-12.735611613671962,20.848635,20.908966,19.849909,1.0590572,3.7161965,2.663755,1.742114,,,,,,1.2567299e-05,0.847945861006652,292.6869223755531
3529055678005801856,191.54626564546297,-12.532671253802189,20.613342,18.909658,17.524914,1.3847446,17.446285,122.76711,10.7203245,,,,,,1.0,1.000000011920929,294.4395700192981
3529082508665677184,190.6988444226118,-12.667351389176408,20.84283,21.275135,19.569769,1.7053661,2.3297744,1.1201577,1.8467002,-4.666003291085138,2.0673156,-6.268342047388155,1.6531893,0.97970724,3.3079825e-08,0.5136834387470608,208.20897741221663
3529094706372909440,190.84927373136458,-12.463967557364226,20.929155,21.5813,19.628546,1.952755,4.295603,5.8599634,1.7923725,,,,,,1.0803019e-06,0.8999659907205262,197.27218115797865
3529105804567905280,191.21433268095853,-12.423620199869491,20.96707,21.119083,19.672762,1.4463215,3.6639297,1.371469,2.0170157,,,,,,5.5154047e-05,0.5588968596513139,239.05197155772439
3529107767368198144,191.43110498870854,-12.406684205567226,20.747654,20.143488,18.695093,1.4483948,11.135672,30.205158,4.052769,,,,,,0.001358104,1.000000011920929,267.7149965638459
3529113810386979712,191.39585398929762,-12.287406742357424,20.4343,20.914593,19.391993,1.5226002,1.874679,1.9504234,1.5653092,-2.5258809647579143,0.9519871,-2.368633509376705,0.79600966,1.0923618,2.7855617e-06,0.6073234150994905,253.46313458029124
3529118311513672832,191.16717350824163,-12.345808931200832,20.984034,21.187143,19.962048,1.2250957,2.8470771,1.201388,1.6804472,,,,,,1.4600501e-05,0.5156229561560095,225.5502890921561
3529124805503436800,191.22260980195875,-12.288871189748034,20.814217,21.32974,19.546618,1.783123,2.651884,1.3458295,1.8039415,,,,,,3.8865373e-06,0.5539005988845647,228.50345660532352
3529127794800258816,191.30627772333918,-12.203898752578937,20.241463,18.865643,17.44879,1.416853,10.792567,63.56277,8.086766,,,,,,1.0,1.000000011920929,234.35417216136292
3529132265862638848,191.20460171697954,-12.110492957086286,20.905195,21.32599,19.850922,1.475069,4.322585,4.6457834,1.6037409,,,,,,1.2275372e-05,0.9397994822788369,212.979371466964
3529489332262803712,191.66753857444726,-12.129408044986482,20.005041,18.888945,17.411997,1.4769478,8.6406,49.824387,6.6131983,,,,,,1.0,1.000000011920929,285.1533887847163
3529509222255539200,191.33396634476927,-11.96892093924023,20.614601,18.473066,17.002798,1.4702682,14.805229,166.01407,16.933079,,,,,,1.0,1.000000011920929,225.52548500702477
3529539768064328832,191.79880749998063,-11.755209584360397,20.96922,21.759686,19.62907,2.1306152,6.0514097,3.2014456,1.7965165,,,,,,2.0207088e-05,0.8311264905606446,294.81505961143915
3529698681854552576,189.91480184374603,-13.14249294165694,20.692144,21.228888,19.578909,1.6499786,3.1835573,2.0764995,1.6159177,-1.6885319602716309,1.7394971,-1.2833276280403938,1.6032428,1.0769053,1.4234852e-06,0.6678440733146848,253.6114594146374
3529715037089335040,189.6494707286123,-13.03044342184264,20.714926,20.798635,19.50122,1.2974148,3.3948476,3.4103296,1.9587486,-6.5576078602666446,1.8351448,-1.3513839654217614,1.3357761,1.1687727,1.178141e-05,0.9524672955118771,241.3297223132676
3529724112355096064,189.80005756765564,-12.846912715908354,20.832,20.446775,18.818596,1.6281796,8.980942,19.176882,3.7229855,1.4508788179318954,1.9514501,-0.6372770414372895,1.2471421,1.5292119,0.9996668,1.000000011920929,206.50884752183606
3529736546286701568,190.16274395253697,-12.784123247771243,20.955473,21.563824,19.847618,1.7162056,3.415027,2.0966287,1.5818828,,,,,,3.7019334e-05,0.6522232996825644,195.3804838553615
3529742254296982784,190.365536868648,-12.663621974877985,19.144909,16.816013,15.421588,1.3944254,8.363649,95.444145,19.182745,,,,,,1.0,1.000000011920929,183.50367320523674
3529747064660356608,190.3503194029618,-12.61428719901514,19.31331,17.161186,15.851729,1.3094568,6.5564275,45.20632,15.4697695,,,,,,1.0,1.000000011920929,174.9238305272038
3529749366763444864,189.9928785994286,-12.737485939580408,20.955637,19.745274,17.912142,1.8331318,24.904495,304.18085,9.155139,,,,,,0.0020908741,0.9000000119209289,185.74820685095986
3529769123612267648,189.54583656239302,-12.827165049683874,17.221815,17.095228,16.26032,0.83490753,48.7017,60264.44,1.835391,,,,,,0.0,1.000000011920929,213.7626100022687
3529795546250295040,189.55894120118273,-12.516810657922079,19.93012,20.934563,18.786589,2.147974,1.4393604,2.1554976,1.4943069,0.2487708831943044,0.61254007,-1.47222349078198,0.43844277,1.0825454,1.7364955e-11,0.5136553992131603,165.2366908857189
3529800597133293440,189.5336121829811,-12.387779368598945,20.693441,19.345106,17.666142,1.6789646,19.772806,526.2689,9.35194,,,,,,1.0,1.000000011920929,148.2174704382449
3529800665852777216,189.45023992575082,-12.42878734274404,20.593899,20.151588,19.276802,0.8747864,1.9628198,1.5102655,2.5058732,-0.9592279636045246,1.1975373,0.05242860322545092,0.7916728,1.0414081,0.75138843,0.5872965410829456,161.23762299469843
3529807327346033792,189.7046796262312,-12.500353648033832,20.687695,21.067644,20.367987,0.69965744,3.1286993,4.4338098,1.0761412,-1.612068506647176,1.929421,-1.7431951817794342,1.0314507,1.1520332,0.00019228045,0.5955177463565998,153.82087128239527
3529822033314148736,189.7478168453602,-12.350880167405135,20.987528,20.224194,18.362127,1.8620663,13.991772,28.815784,6.189561,,,,,,0.0006125244,0.9000000119209289,127.96288039882063
3529832311171163904,189.92062537923044,-12.130024998276069,16.521894,16.069546,14.780996,1.2885494,0.79499733,15.514966,3.1920846,,,,,,2.2350738e-05,1.000000011920929,85.42411087622253
3529835674131320576,189.87328540479464,-12.089529457290244,20.927221,21.265913,19.829578,1.4363346,3.088938,1.2903442,1.687704,,,,,,7.540168e-06,0.5359976470580496,80.34829085224354
3529869655912590336,190.44121049291687,-12.151775806992786,20.987024,21.194761,19.651802,1.5429592,4.1076837,1.4485253,2.0387232,,,,,,2.6471389e-05,0.5743925055141423,114.01648314572506
3529876600874884096,190.80175483335566,-12.23316194633276,20.513264,18.318459,16.773838,1.5446205,20.922352,102.87198,18.657122,,,,,,1.0,1.000000011920929,165.9418427509407
3529881686115344384,191.13265824127615,-12.10272716167499,18.944141,17.667768,16.574848,1.0929203,3.0769117,28.620956,6.0816274,1.521424270295495,0.6049005,-1.4009088128751555,0.42990044,1.6487007,1.0,1.000000011920929,201.6668996396311
3529884091297878784,191.19812361270255,-12.014245290281838,20.540218,19.007935,17.522419,1.4855156,16.37985,442.57547,9.755873,,,,,,1.0,1.000000011920929,206.4210288470597
3529885225167833344,191.17761537654928,-11.971146944496683,20.935135,20.978632,19.63035,1.3482819,5.7510376,6.3869905,2.0967338,,,,,,9.6463455e-06,0.9999965640274531,201.07464667335864
3529889348337868928,191.1048299776005,-11.91349750805236,20.96116,21.163765,19.852734,1.3110313,6.965683,5.0921655,1.7701397,,,,,,9.511401e-06,0.9994039057584748,187.03935560305624
3529910307776512640,190.34989227969754,-12.175483542533948,20.22805,19.062944,17.63084,1.4321041,8.041859,28.099125,6.7244306,,,,,,1.0,1.000000011920929,108.52725884637174
3529922058807792896,190.25154751208157,-11.999825351583016,20.510323,18.954725,17.418945,1.53578,13.954933,50.339005,10.295934,,,,,,1.0,1.000000011920929,75.22790731229281
3529927350208501120,190.1263580666314,-12.047235250642691,20.910845,20.292212,18.787928,1.5042839,15.967659,50.5419,4.2563553,,,,,,0.000654789,1.000000011920929,73.7493542986599
3529943705443904768,190.5040228043637,-11.951868599845294,19.945938,20.889387,18.464363,2.425024,2.2076573,5.645875,1.9517138,-1.1946706282358956,0.6905067,1.8824629839630658,0.41742492,1.2295296,2.2321565e-06,0.8999200668650194,99.14620231743862
3529947622454135552,190.52982777535138,-11.87257677250151,20.991201,20.509626,19.607683,0.9019432,10.530827,13.508827,2.6353438,,,,,,6.448504e-05,1.000000011920929,96.29018826831236
3529967856043609728,190.3103977255059,-11.661217401968322,20.334806,19.559635,18.156963,1.4026718,7.0051875,18.964071,4.6095295,,,,,,0.007496509,1.000000011920929,51.453088890497625
3529978133900666880,189.15027447321157,-12.576036896115326,20.988888,20.997755,19.937372,1.0603828,5.400874,2.5168812,1.8280307,,,,,,2.8005126e-05,0.8184282900519843,210.4752077572812
3529982978624873600,189.07043150883734,-12.484184571881045,19.37626,20.170774,17.581398,2.5893764,75.30338,10084.285,2.5475252,,,,,,0.0,0.9000000119209289,208.4271309857954
3530049430358834176,188.73196707213444,-12.261611685215524,20.573015,19.119562,17.591236,1.528326,13.091351,33.891693,9.326286,,,,,,1.0,1.000000011920929,232.21702995876947
