r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.011308088799818298,98,8666.362789932698,875.4348424263112
10,20,15.0,0.033924266399454894,42,1238.0518271332426,191.03554435334806
20,30,25.0,0.05654044399909145,27,477.53427617996533,91.90151429992537
30,40,35.0,0.07915662159872812,31,391.62863919520925,70.3385800249904
40,50,45.0,0.10177279919836472,37,363.5549016184917,59.768057655978836
50,60,55.0,0.12438897679800108,27,217.06103462725716,41.7734155908752
60,80,70.0,0.3166264863949125,87,274.7717065321226,29.458619079186064
80,100,90.0,0.4070911967934589,129,316.88231289719886,27.899931958889866
100,125,112.5,0.6360799949897787,169,265.6898524260548,20.43768095585037
125,150,137.5,0.7774311049875081,219,281.69698716070656,19.035318360700952
150,175,162.5,0.9187822149852373,266,289.5136580373119,17.75122130608737
175,200,187.5,1.0601333249829656,327,308.4517695029107,17.057421829764372
200,225,212.5,1.2014844349806932,340,282.9832747733128,15.34692283789933
225,250,237.5,1.342835544978422,369,274.7916536614537,14.305082095966727
250,275,262.5,1.4841866549761535,360,242.55709266283904,12.78388125738479
275,300,287.5,1.625537764973879,417,256.5304903923292,12.562352162264455
