source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,pmra,pmra_error,pmdec,pmdec_error,ruwe,classprob_dsc_combmod_galaxy,model_c_score,radius_kpc
4860085417632713088,54.741293576353826,-35.796726438397044,20.774141,21.074434,19.729832,1.3446026,2.7885144,2.664032,1.6513637,2.0463936013535546,0.93534374,-1.3335550487707928,1.279639,1.0953852,2.5891577e-05,0.81881728101719,130.34026631316866
4860162967561484928,55.11141873961064,-35.88748496515715,20.81424,21.447786,19.753836,1.6939507,2.3413105,4.3306484,1.5224472,3.1934285674134664,1.456953,-5.566374788406326,1.7519587,1.1001253,4.2804304e-06,0.887536745603126,214.14988721604493
4860179705049709312,55.12249032806063,-35.64604186585828,20.756044,21.160547,19.287645,1.8729019,5.7403316,5.179705,2.1273398,,,,,,1.4904761e-05,0.8995577369876079,163.84922791569008
4860183587701091328,55.004945303126775,-35.57896315725299,20.041023,20.869621,18.69942,2.1702003,4.624193,19.29506,1.7863687,0.4112154416723619,0.5888676,-2.7712167042496567,0.8152771,1.5764889,2.5689636e-05,0.9000000119209289,122.37276747708123
4860184785995449344,55.16504589778167,-35.635554325764865,20.417887,20.98231,19.355011,1.6272984,1.7523402,2.3137896,1.5515934,1.2907555064977083,0.6664713,1.644908019063604,0.7878916,1.0456195,1.8038947e-10,0.684851785311685,173.74098823249227
4860235677064200064,54.18535370565251,-36.15371628046849,20.956806,21.157446,19.572464,1.5849819,3.6765916,1.8112557,2.1092868,,,,,,4.686305e-06,0.6550879791307261,284.9569643370632
4860259037390103552,54.19883780774969,-35.80936281698443,20.602625,20.248362,19.421968,0.8263931,5.731779,9.230005,2.2537658,-0.28566107142667857,0.8503948,-1.0021161383870856,1.3104833,1.3367285,0.058533195,1.0000000119207841,179.78643026791184
4860262782601597568,54.0779446487253,-35.79589811287476,20.584675,20.692291,20.112188,0.5801029,2.481936,2.6244862,1.3072243,-1.6814593626644299,0.7109153,-2.9443866425399694,1.0158161,1.0680646,1.6784478e-11,0.5046420439941489,202.9351022873312
4860280546586589184,54.62670310984684,-35.57241856755121,20.872526,21.012882,19.91749,1.0953922,5.59317,4.3584414,1.651715,-0.42366211326126213,1.8235207,2.730345397767099,2.8193004,1.2647182,0.00019201727,0.965523437712397,44.274793695750446
4860284227374824704,54.424202699576874,-35.68968141847157,20.824932,20.366762,19.517033,0.84972954,6.563466,8.5030985,2.5099704,2.378385286326697,1.3569117,-0.6877305338764614,2.0827565,1.371049,0.6674513,1.0000000118973242,104.256412245607
4860291369904146048,54.435057096685505,-35.60518816489724,20.821856,20.140173,18.408651,1.7315216,14.56101,59.062943,5.244669,,,,,,0.0065487646,1.000000011920929,78.39247799253825
4860292606854812416,54.578390475088426,-35.530868988483974,20.603025,20.270376,19.214405,1.0559711,6.8719516,45.324562,2.4975872,-1.64543603521473,1.1069546,-0.4965837262906807,1.3013215,1.3620554,0.9879881,1.000000011920929,31.778129156103365
4860297623376754560,54.527099908403706,-35.38435926728185,20.564486,20.233208,19.133327,1.0998802,7.7969155,51.929546,2.5567741,-0.09630631510747595,1.3930614,0.9475813077904385,1.6378932,1.4726888,0.9622056,1.000000011920929,36.521413681996094
4860302472396391936,53.808949532916586,-35.85390058880909,20.487766,18.955898,17.412653,1.5432453,16.10837,285.7212,10.122331,,,,,,1.0,1.000000011920929,279.9824163696492
4860355111513345408,54.03108885075029,-35.315535998889345,16.055944,16.553682,14.167,2.3866825,10.291272,14479.727,2.856208,,,,,,0.0,0.9000000119209289,180.76404588264694
4860372493245918848,54.89203406860435,-35.525513716106765,20.797237,20.111671,20.103645,0.008026123,2.9502344,2.0138283,2.160978,5.3636932201337055,1.8707972,-1.844925409272445,2.4446826,1.0905474,6.4089086e-08,0.6033099171901785,84.43029595927766
4860382045253684736,55.12669616543437,-35.26714480513319,20.981424,21.21875,19.574444,1.6443062,7.9212513,7.323979,2.1209936,3.0623538917114046,1.7191448,-3.066454946423296,2.115766,1.3739972,0.0009462299,0.9999999814644227,163.35067579491533
4860382182692640384,55.082909203540595,-35.25824247875374,20.804945,20.732979,19.480112,1.2528667,5.255313,7.7412415,2.2010012,-0.3142940705778984,1.2446008,-0.41656893060263966,1.2859195,1.2391032,0.0029840113,1.0000000091013799,153.06865557551288
4860387890704538112,54.64092335176304,-35.43251704901293,20.402227,20.573679,19.542706,1.0309734,5.1059318,10.478958,1.5482935,-0.21762651411407455,0.7583817,0.3975996656383296,0.9843455,1.3266555,0.010638837,0.9089760601520538,8.7037128161998
4860461076947480704,54.40484107241286,-34.909526266647255,20.968916,21.243576,19.523184,1.7203922,6.635673,4.3474293,2.157187,,,,,,5.0377603e-05,0.9943289734551183,205.88403930962394
4861112258413838336,53.854642447382645,-35.07819132715644,20.895027,20.824924,19.080788,1.7441368,5.1023903,4.847967,3.011835,3.65802608864786,1.886513,2.363130932742669,2.5468779,1.2075135,0.0019588172,0.9986800279322052,263.47967891179127
4861112984264559232,53.746663964703416,-35.171077524099395,18.528923,15.77291,14.462778,1.310132,5.216239,62.859543,26.990896,,,,,,1.0,1.000000011920929,277.29755274051405
4861120710909517440,54.069923281140355,-34.926972440819966,20.954168,20.166555,18.58914,1.5774155,14.103906,56.84857,5.215272,,,,,,0.0030799396,1.000000011920929,249.87522918381498
4861121574197749888,53.84942878076013,-35.00344107320775,20.900562,21.60617,19.677462,1.928709,4.648056,2.571056,1.6771709,,,,,,2.4536578e-06,0.7159139794210451,279.6223094455259
4861215788602221952,54.22789114501855,-34.8411908121636,20.806679,20.105759,18.428186,1.6775723,14.162037,114.98821,5.146692,,,,,,0.0013239456,1.000000011920929,249.25365321049324
4860069960046624512,55.0234575373348,-35.90201023357417,20.964891,19.295029,17.794323,1.5007057,15.975272,27.703014,11.182286,,,,,,1.0,1.000000011920929,201.88335374778973
4860072330867401344,54.77211494284523,-36.12420791124667,20.970816,21.270132,19.88988,1.3802528,4.9158063,2.289004,1.6896452,,,,,,6.2086556e-06,0.7620136170797914,247.9817814056999
