r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.002827456638805798,2,707.3494859481623,500.17161818276406
10,20,15.0,0.008482369916417395,0,0.0,117.89158099136037
20,30,25.0,0.01413728319402899,7,495.14464016371363,187.14708298282147
30,40,35.0,0.01979219647164059,5,252.62481641005792,112.97725245925878
40,50,45.0,0.02544710974925218,9,353.6747429740812,117.89158099136039
50,60,55.0,0.03110202302686379,6,192.91349616768056,78.75660501786257
60,80,70.0,0.07916878588656236,28,353.6747429740811,66.83824392243623
80,100,90.0,0.10178843899700872,31,304.5532508943477,54.69937861011547
100,125,112.5,0.15904443593282622,33,207.48918254479418,36.11923053356166
125,150,137.5,0.19438764391789878,45,231.49619540121654,34.509415296646296
150,175,162.5,0.22973085190297124,66,287.29271429279186,35.36328854979921
175,200,187.5,0.26507405988804317,64,241.44195787030642,30.180244733788303
200,225,212.5,0.3004172678731168,67,223.02313204012592,27.246612119945077
225,250,237.5,0.33576047585818813,90,268.04822625404074,28.254763924363743
250,275,262.5,0.3711036838432608,76,204.79451783642043,23.491542301055123
275,300,287.5,0.40644689182833427,109,268.177718150781,25.686766755544753
