Mem    1041346  21.65 21.77 21.89 0.87 0.89 21.71 19.34 194.9141693 27.9777908 19 1837 1658  8816  40  6.41  9.1        
Mem    1039188  21.97 21.97 22.10 1.47 1.00 22.00 19.33 194.9216614 27.9530296 19 3481  819  6955  40  8.40  6.3        
Mem    1041508  22.62 22.82 22.95 0.71 0.83 22.62 19.89 194.9293823 27.9793549 19 1525  735  7346  66  3.63  3.9        
Mem    1043225        22.61 22.72      0.65       20.07 194.9863739 27.9994297 18  218 1536  6950  49  3.68  3.9        
Mem    1042830  21.83 21.67 21.79 0.80 1.02 21.59 18.79 195.0075073 27.9948120 18  264  152  9438  39  6.97  9.2        
Mem    2000005  23.19 23.05 23.19 0.50 1.04 23.19 19.67 195.2032471 28.0197811  8 2430  623  7339  40  7.92  3.0        
Mem    1044251  22.31 22.15 22.30 0.77 1.19 22.24 19.73 195.2095490 28.0104160  8 3005   89  4563  35  8.61  6.3        
Mem    1044847  22.59             0.88      22.49       195.2160492 28.0170689               8489  50  5.54  4.2        
Uncert 1039715  22.65 22.61 22.69 0.79 1.10 22.75 20.49 194.9122467 27.9591923 19 3170 1498  6558  70  3.10  4.7        
Uncert 1041400  22.78 22.59 22.73 0.92 1.19 22.61 19.79 194.9237061 27.9782658 19 1677 1072  6982  54  5.19  2.7        
Uncert 1038942  22.94 22.96 23.11 0.64 0.79 23.11 20.73 194.9502506 27.9502506 25  181 2693  6538 154  2.56  3.6        
Uncert 1039079  22.70 22.74 22.88 0.74 0.99 22.69 19.53 194.9569092 27.9517746 18 3964 2655  9638  68  5.40  3.4        
Uncert 1037297  22.89 22.90 23.04 0.64 0.92 22.79 19.88 194.9636688 27.9317131 25 1355 1797  7153 139  3.14  2.8        
Uncert 1040263  22.91 22.70 22.81 0.83 0.84 22.81 21.02 194.9937897 27.9655056 18 2509  565  6821 124  3.49  3.4        
Uncert 1038505  23.10 22.97 23.12 0.43 0.72 22.69 20.45 195.0224152 27.9456463 24  456 2388  5777  72  3.83  3.3        
Uncert 1045724  22.32 22.39 22.51 0.97 1.27 22.18 18.89 195.1241608 28.0267639  9 2123 1600  6896  54  4.76  4.8        
Bckgrd 1037801  21.17 21.16 21.27 0.45 0.43 21.36 20.07 194.9686737 27.9382534 25  828 1585 44368 129  2.40 17.5  44454   6
Bckgrd 1042772  23.22 23.23 23.37 0.65 0.98 23.41 21.52 194.9895020 27.9941273 18  551 1262                      122313  87
Bckgrd 1042434  23.49             0.43      23.27       195.0279236 27.9900494                                   110080  76
Bckgrd 1041404  21.43 21.36 21.49 0.70 0.44 21.56 20.45 195.1437988 27.9785004 15 2191 3556                       53247  36
Bckgrd 1040963  23.25 23.35 23.51 0.82 0.98 23.26 21.36 195.1675415 27.9730701 15 2260 1999                      106399  63
Bckgrd 1042863        22.61 22.77      0.47       21.24 195.1869965 27.9949245 15  463 1115                       53043  50
Bckgrd 4000025        24.62                             195.1993713 27.9944324 15  334  339 81397  90  2.72  2.5  81556  60
Stars  1039346  22.21 22.14 22.25 0.76 0.90 21.93 18.45 194.9500885 27.9550133 18 3827 3128     2  93  3.42  6.5        
Stars  1039823  21.06 21.32 21.44 0.64 0.29 20.82 18.14 194.9639130 27.9605064 18 3257 2350   -43  25 11.4  16.4        
Stars  1044234  21.82 21.79 21.91 0.82 1.08 21.60 18.19 195.1475372 28.0103035  8 3833 3943  -114  32  9.00 10.2        
Stars  1043666  22.04 22.07 22.19 0.67 0.64 21.68 18.51 195.1602478 28.0043449  8 4085 3064  -200  28  9.38 11.8        
Stars  1045115  21.62             0.54      21.36       195.2292023 28.0200977               -139  43  6.41 15.7        
Stars  8039100  22.52             0.80      22.22       195.2524567 27.9879341                185  44  5.53  5.8        
