GC_cand_37        This Work       200.926244 -43.565931  8.08 19.56                        M2FS ca
GC_cand_38        This Work       200.959920 -43.543763  4.68 21.04                        M2FS ca
T17-1027          Taylor2017      200.969649 -43.318745  4.91 20.01  502.0   7.1 0.20 0.34 M2FS ca Y New
AAT301956         Beasley2008     200.977085 -43.333630  5.54 20.37                        M2FS ca
H21-200841        This Work       200.979670 -43.463985  7.23 20.51                        M2FS ca
GC_cand_0         This Work       200.989659 -42.868971 18.46 18.79    0.7   5.9 1.03 0.32 M2FS ca N New
AAT101931         Beasley2008     200.993959 -42.954726 13.16 19.84  337.1   6.1 1.31 0.36 M2FS ca Y RV
AAT102120         Beasley2008     200.998330 -42.922039 14.77 19.88  254.4   5.9 1.49 0.33 M2FS ca N RV
AAT103195         Beasley2008     201.003257 -42.993677 11.31 20.89                        M2FS ca
AAT103195         Beasley2008     201.024791 -43.065223 14.64 20.27  244.9   5.9 0.15 0.32 M2FS ca N RV
AAT304867         Beasley2008     201.035856 -43.274220 10.10 20.17                        M2FS ca
HH-131            Harris2004      201.065690 -42.886768 14.83 20.37                        M2FS ca
KV19-235          Voggel2020      201.068541 -43.587734 29.73 17.44  -28.8   5.9 0.57 0.32 M2FS ca N D
H12_322           Harris2012      201.073228 -43.444351  9.79 20.38                        M2FS ca
HHH86-28          Hesser1986      201.075206 -42.816956 23.37 18.45  468.1   6.0 0.82 0.33 M2FS ca Y RV
KV19-236          Voggel2020      201.076356 -43.344684 26.02 17.94  -24.2   6.0 0.32 0.32 M2FS ca N C
KV19-237          Voggel2020      201.079546 -43.125361 16.37 19.14   26.0   6.0 0.16 0.32 M2FS ca N D
HH-22             Harris2004      201.089178 -43.043633 30.51 18.04  615.2   5.9 0.36 0.32 M2FS ca Y RV
HH-99             Harris2004      201.099886 -42.902972 14.11 19.61  614.8   6.0 1.47 0.34 M2FS ca Y RV
KV19-239          Voggel2020      201.103008 -43.443754 33.39 18.00                        M2FS ca
GC0025            Woodley2007     201.106419 -43.359877 12.76 19.36  797.2   5.9 0.57 0.32 M2FS ca Y RV
H21-212899        This Work       201.106504 -43.553764 21.39 20.86   54.1   5.9 0.57 0.32 M2FS ca N New
GC_cand_7         This Work       201.136470 -42.817503 12.11         17.8   5.9 1.01 0.33 M2FS ca N New
GC_cand_9         This Work       201.141940 -42.890835 11.63 20.41                        M2FS ca
