FCC47-UCD1          NGC 1336        03 26 32.92 -35 42 56.10 1509.7 -11.15   1.1 23.60  0
UCD3, F-19          NGC 1399        03 38 54.10 -35 33 33.60 1509.0 -13.40  45.1 89.74  1
VUCD7               M87             12 31 52.93 +12 15 59.50  985.0 -13.40  82.6 96.83  1
VUCD3               M87             12 30 57.40 +12 25 44.80  713.0 -12.60   0.0 18.71  1
UCD1                NGC 1399        03 37 03.30 -35 38 04.60    0.0 -12.20 120.3 22.39  1
VUCD5               M87             12 31 11.90 +12 41 01.20 1290.0 -12.30  88.2 17.91  1
F-24                NGC 1399        03 39 35.90 -35 28 24.60 1902.0 -12.30  74.3 29.51  1
VUCD4               M87             12 31 04.51 +11 56 36.80  916.0 -12.30 130.1 21.98  1
S999                M87             12 30 45.91 +12 25 01.80 1466.0 -11.10   8.5 19.10  1
UCD5                NGC 1399        03 39 52.58 -35 04 24.10 1245.0 -12.00 165.3 31.19  1
F-1a                NGC 1399        03 38 06.30 -35 28 58.80 1261.0 -12.20  28.0 23.12  1
S490                M87             12 30 59.30 +12 21 23.00    0.0 -11.00   0.0  3.60  1
F-9                 NGC 1399        03 38 25.50 -35 37 42.70 1752.0 -11.40  59.4  9.10  1
F-5                 NGC 1399        03 38 10.80 -35 25 46.20 1672.0 -11.80  22.0  5.00  1
F-6                 NGC 1399        03 38 16.50 -35 26 19.60  857.0 -11.10  14.9  7.29  1
HCH99-18            NGC 5128        13 25 31.60 -43 00 02.80  455.0 -11.40   0.0 18.30  1
F-7                 NGC 1399        03 38 17.60 -35 33 02.40 1520.0 -11.20  35.8 14.89  1
S314                M87             12 31 05.10 +12 20 04.00    0.0 -10.90   0.0  3.20  1
F-12                NGC 1399        03 38 29.00 -35 22 56.30 1661.0 -11.50  22.5 10.30  1
G1                  M31             00 32 46.60 +39 34 40.00    0.0 -10.90   0.0  3.00  1
HGHH92-C1           NGC 5128                                  638.0 -10.80   0.0 23.99  1
HGHH92-C23          NGC 5128        13 25 54.59 -42 59 20.90  671.4 -11.70   5.5  3.30  1
HGHH92-C7           NGC 5128        13 26 05.38 -42 56 32.20  592.9 -11.10   9.3  7.50  1
F-17                NGC 1399        03 38 33.80 -35 25 57.20 1390.0 -11.30   7.7  3.30  1
F-11                NGC 1399        03 38 28.30 -35 25 38.50 1706.0 -11.50   7.7  3.60  1
HCH99-15            NGC 5128        13 25 29.80 -43 00 07.00    0.0 -10.80   1.2  5.90  1
F-34                NGC 1399        03 38 12.70 -35 28 57.00 1639.0 -10.80  21.5  4.00  1
F-22                NGC 1399        03 39 17.70 -35 25 30.10 1054.0 -11.20  54.5 10.00  1
HGHH92-C11          NGC 5128        13 24 57.73 -43 01 21.60  753.0 -10.40   6.7  7.80  1
HGHH92-C17          NGC 5128        13 25 39.73 -42 55 59.10  781.0 -10.60   6.2  5.70  1
VHH81-C5            NGC 5128        13 25 16.12 -42 52 58.20  557.0 -10.60   0.0 10.00  1
