  1 NGVS J122623.21+121925.2 186.5966882 12.3236728 0.027 19.603|0.001 0.910|0.003 0.435|0.002 0.728|0.002 0.840|0.003 1.231|0.003  0.061 0
  2 NGVS J122628.69+125642.6 186.6195415 12.9451739 0.029 19.695|0.001 1.312|0.003 0.616|0.002 0.920|0.002 1.120|0.003 1.145|0.004  0.064 1
  3 NGVS J122633.05+123847.6 186.6377219 12.6465456 0.032 21.303|0.003 1.009|0.008 0.482|0.005 0.728|0.006 0.808|0.009 0.596|0.015  0.006 0
  4 NGVS J122636.42+125512.9 186.6517616 12.9202470 0.028 18.947|0.001 1.354|0.002 0.622|0.001 0.944|0.001 1.152|0.002 1.226|0.002  0.000 1
  5 NGVS J122638.52+123702.7 186.6604821 12.6174078 0.032 20.575|0.002 1.041|0.005 0.498|0.003 0.753|0.004 0.825|0.005 0.617|0.009 -0.004 1
  6 NGVS J122638.79+124545.8 186.6616360 12.7627110 0.030 20.520|0.002 1.029|0.005 0.498|0.003 0.750|0.004 0.886|0.005 0.632|0.007  0.010 1
  7 NGVS J122643.32+121743.9 186.6804595 12.2955414 0.027 20.750|0.002 0.985|0.007 0.517|0.003 0.723|0.004 0.907|0.007 0.490|0.012  0.079 0
  8 NGVS J122646.48+131732.2 186.6936696 13.2922923 0.027 21.395|0.003 0.936|0.008 0.467|0.005 0.727|0.006 0.788|0.009 1.203|0.013 -0.006 0
  9 NGVS J122647.07+122714.0 186.6961017 12.4538766 0.030 19.541|0.001 1.122|0.004 0.631|0.002 0.964|0.002 1.108|0.003 0.981|0.004  0.406 0
 10 NGVS J122649.87+115931.8 186.7077996 11.9921620 0.025 21.487|0.003 1.103|0.011 0.487|0.005 0.767|0.007 0.902|0.011 1.081|0.013  0.018 0
 11 NGVS J122656.56+123532.2 186.7356434 12.5922742 0.031 19.801|0.001 1.123|0.003 0.576|0.002 0.846|0.002 0.992|0.003 0.877|0.004  0.077 1
 12 NGVS J122708.43+132009.0 186.7850984 13.3358383 0.026 21.365|0.004 1.011|0.012 0.509|0.007 0.755|0.009 0.906|0.012 0.678|0.022  0.283 0
 13 NGVS J122726.54+131150.7 186.8605838 13.1974160 0.031 20.907|0.003 0.965|0.007 0.441|0.005 0.767|0.007 0.851|0.008 0.912|0.011  0.028 0
 14 NGVS J122727.19+125546.0 186.8632841 12.9294426 0.028 21.012|0.002 0.958|0.006 0.478|0.004 0.718|0.005 0.804|0.007 0.550|0.014 -0.027 1
 15 NGVS J122729.00+131903.4 186.8708425 13.3176108 0.026 21.322|0.003 1.112|0.009 0.547|0.005 0.883|0.006 1.047|0.008 1.296|0.011  0.097 0
 16 NGVS J122745.56+124356.4 186.9398394 12.7323291 0.029 21.526|0.003 1.080|0.010 0.501|0.005 0.744|0.007 0.850|0.010 0.692|0.015  0.010 0
 17 NGVS J122804.51+121507.6 187.0187896 12.2521076 0.027 21.378|0.005 1.017|0.017 0.469|0.009 0.751|0.010 0.764|0.019 1.201|0.012  0.071 0
 18 NGVS J122806.62+122436.4 187.0275966 12.4101100 0.028 20.941|0.002 1.022|0.007 0.521|0.004 0.721|0.005 0.828|0.008 0.629|0.009  0.018 0
 19 NGVS J122837.21+122845.6 187.1550495 12.4793425 0.024 21.014|0.002 1.045|0.007 0.530|0.004 0.747|0.005 0.885|0.007 0.680|0.014  0.014 1
 20 NGVS J122856.90+130220.5 187.2370664 13.0390265 0.022 21.342|0.004 0.953|0.010 0.514|0.006 0.725|0.008 0.855|0.012 0.588|0.016  0.084 1
 21 NGVS J122910.66+124304.1 187.2944290 12.7178146 0.022 20.883|0.002 1.127|0.008 0.632|0.004 0.818|0.004 0.918|0.008 0.883|0.007  0.005 1
 22 NGVS J122914.82+113622.4 187.3117572 11.6062340 0.034 21.220|0.003 0.893|0.008 0.404|0.005 0.723|0.006 0.918|0.009 1.372|0.007 -0.007 0
 23 NGVS J122914.87+115343.8 187.3119410 11.8955165 0.027 20.189|0.001 1.047|0.004 0.539|0.002 0.790|0.003 0.925|0.004 0.753|0.004  0.058 1
 24 NGVS J122925.49+121835.8 187.3562019 12.3099218 0.024 20.838|0.003 1.135|0.009 0.476|0.004 0.756|0.006 0.880|0.008 1.039|0.008  0.041 0
 25 NGVS J122936.29+113708.5 187.4011880 11.6190412 0.036 21.057|0.002 1.169|0.008 0.516|0.004 0.799|0.005 0.989|0.007 1.345|0.007  0.014 0
 26 NGVS J122937.04+130620.9 187.4043319 13.1058181 0.022 20.988|0.002 0.945|0.006 0.383|0.004 0.654|0.005 0.753|0.008 0.931|0.011  0.034 0
 27 NGVS J122937.93+114058.1 187.4080229 11.6828173 0.035 21.198|0.003 1.005|0.008 0.506|0.004 0.718|0.005 0.924|0.008 0.715|0.012  0.006 1
 28 NGVS J122940.39+122728.1 187.4182872 12.4577958 0.023 19.958|0.001 1.112|0.004 0.515|0.002 0.775|0.002 0.849|0.003 0.644|0.005  0.017 1
 29 NGVS J122941.32+123952.4 187.4221790 12.6645688 0.021 20.255|0.002 1.161|0.005 0.509|0.003 0.791|0.004 0.971|0.004 0.820|0.006  0.049 1
 30 NGVS J122941.56+124427.6 187.4231465 12.7410002 0.022 20.948|0.002 1.179|0.007 0.584|0.004 0.848|0.004 1.012|0.006 0.930|0.008 -0.020 1
 31 NGVS J122942.29+131727.6 187.4261812 13.2910772 0.026 19.680|0.001 1.633|0.004 0.764|0.002 1.068|0.002 1.287|0.002 1.732|0.003  0.235 0
 32 NGVS J122945.26+125100.9 187.4385733 12.8502553 0.020 20.508|0.002 1.095|0.005 0.537|0.003 0.768|0.003 0.894|0.005 0.794|0.008  0.007 1
 33 NGVS J122947.20+121717.8 187.4466393 12.2882768 0.025 19.679|0.001 1.033|0.004 0.443|0.002 0.725|0.002 0.834|0.003 1.236|0.003  0.180 0
 34 NGVS J122950.93+123653.2 187.4621952 12.6147895 0.021 21.429|0.004 1.063|0.010 0.460|0.006 0.696|0.008 0.851|0.011 0.636|0.017 -0.022 0
 35 NGVS J122952.28+123737.8 187.4678260 12.6271638 0.021 20.803|0.002 1.275|0.007 0.626|0.003 0.873|0.004 1.099|0.006 1.087|0.007  0.006 1
 36 NGVS J122952.41+123504.1 187.4683715 12.5844700 0.022 19.746|0.001 1.055|0.004 0.491|0.002 0.692|0.003 0.902|0.003 0.662|0.004  0.070 1
 37 NGVS J122954.98+123350.9 187.4790895 12.5641282 0.022 20.617|0.002 1.003|0.005 0.484|0.003 0.703|0.004 0.862|0.006 0.615|0.008  0.043 1
 38 NGVS J122956.35+131312.1 187.4847166 13.2200542 0.024 20.002|0.001 1.018|0.004 0.575|0.002 0.751|0.003 0.798|0.004 0.591|0.008  0.135 0
 39 NGVS J122957.12+123602.9 187.4880095 12.6008171 0.022 20.266|0.001 0.997|0.004 0.474|0.002 0.719|0.003 0.866|0.004 0.590|0.006 -0.021 1
 40 NGVS J123001.95+124226.9 187.5081185 12.7074667 0.022 19.865|0.001 0.937|0.005 0.487|0.002 0.713|0.003 0.750|0.004 0.533|0.005  0.038 1
 41 NGVS J123002.46+123633.8 187.5102296 12.6093775 0.022 20.208|0.001 1.125|0.005 0.528|0.002 0.790|0.003 0.956|0.004 0.842|0.005 -0.010 1
 42 NGVS J123004.05+120714.0 187.5168687 12.1205496 0.028 19.732|0.001 1.085|0.003 0.533|0.002 0.795|0.002 0.878|0.003 0.648|0.003  0.008 1
 43 NGVS J123006.06+123954.0 187.5252451 12.6649930 0.021 19.479|0.001 1.171|0.003 0.516|0.002 0.792|0.002 0.987|0.002 0.901|0.003 -0.017 1
 44 NGVS J123006.13+122435.3 187.5255256 12.4098184 0.026 20.594|0.002 1.208|0.006 0.544|0.003 0.849|0.003 0.944|0.005 0.910|0.006 -0.023 1
 45 NGVS J123007.57+123631.0 187.5315491 12.6086113 0.022 19.052|0.001 1.213|0.002 0.551|0.001 0.843|0.001 1.027|0.002 1.006|0.002  0.003 1
 46 NGVS J123009.82+123736.5 187.5409141 12.6267936 0.022 21.041|0.002 1.090|0.007 0.520|0.004 0.784|0.005 0.925|0.007 0.815|0.011 -0.025 1
 47 NGVS J123010.00+123604.7 187.5416814 12.6012962 0.022 21.497|0.003 1.062|0.010 0.491|0.006 0.741|0.007 0.911|0.010 0.690|0.018 -0.048 1
 48 NGVS J123010.89+121143.7 187.5453605 12.1954912 0.025 21.038|0.002 1.025|0.008 0.476|0.004 0.725|0.005 0.760|0.009 0.535|0.013  0.284 0
 49 NGVS J123011.07+124721.7 187.5461272 12.7893612 0.022 20.576|0.002 1.127|0.005 0.519|0.003 0.792|0.003 0.948|0.005 0.784|0.007  0.023 1
 50 NGVS J123014.74+120726.5 187.5614188 12.1240380 0.028 21.253|0.003 0.939|0.008 0.378|0.004 0.660|0.006 0.736|0.010 0.803|0.011 -0.019 0
 51 NGVS J123016.54+121556.8 187.5689170 12.2657885 0.023 20.037|0.001 1.015|0.005 0.431|0.003 0.735|0.003 0.899|0.004 0.632|0.004  0.081 1
 52 NGVS J123017.80+114447.4 187.5741725 11.7465080 0.033 19.136|0.001 1.474|0.004 0.765|0.001 0.988|0.002 1.255|0.002 1.594|0.001  0.146 0
 53 NGVS J123019.63+120924.6 187.5818070 12.1568307 0.027 21.079|0.002 1.065|0.007 0.492|0.004 0.705|0.004 0.818|0.006 0.527|0.009  0.004 1
 54 NGVS J123020.05+115518.7 187.5835090 11.9218754 0.030 19.343|0.001 1.099|0.003 0.582|0.001 0.814|0.002 0.999|0.002 0.842|0.003  0.120 1
 55 NGVS J123021.83+122402.4 187.5909557 12.4006720 0.023 19.932|0.001 1.404|0.004 0.626|0.002 0.958|0.002 1.175|0.002 1.296|0.002  0.024 1
 56 NGVS J123022.97+123148.7 187.5957005 12.5302086 0.022 19.753|0.001 1.079|0.003 0.521|0.002 0.767|0.002 0.863|0.003 0.706|0.005  0.099 1
 57 NGVS J123025.75+122621.1 187.6073036 12.4391949 0.022 20.461|0.001 1.079|0.005 0.516|0.002 0.756|0.003 0.883|0.004 0.727|0.005  0.004 1
 58 NGVS J123026.56+122044.6 187.6106637 12.3457239 0.023 20.376|0.001 1.089|0.005 0.593|0.002 0.750|0.003 0.875|0.004 0.699|0.004 -0.019 1
 59 NGVS J123026.89+122331.1 187.6120793 12.3919745 0.022 19.928|0.001 1.155|0.004 0.596|0.002 0.801|0.002 0.940|0.003 0.854|0.003  0.012 1
 60 NGVS J123029.91+123822.2 187.6246350 12.6394879 0.021 20.466|0.002 0.927|0.005 0.466|0.002 0.680|0.003 0.766|0.005 0.464|0.013  0.023 1
