  1 NGVS J122708.94+074228.3 24.228|0.010 23.403|0.010 45.60|0.70 44.22|0.65                         ---              1   1 1          
  2 NGVS J122718.40+081154.2 25.947|0.026 25.062|0.047 13.48|0.82 18.41|1.46                         ---              3   1 0          
  3 NGVS J122735.11+072518.7 26.010|0.025 25.270|0.014 15.53|0.89 18.11|0.64                       38059              1   1 0          
  4 NGVS J122741.97+075613.3 26.139|0.019 25.337|0.024 23.11|0.74 23.14|0.85                       31816              1   1 0          
  5 NGVS J122744.26+072542.5 25.688|0.006 24.948|0.007 12.77|0.37 14.70|0.40                        1107              1   1 1          
  6 NGVS J122803.46+065343.1 26.373|0.014 25.524|0.037 21.72|0.70 28.08|1.46                         ---              1   1 1          
  7 NGVS J122806.14+065909.0 25.353|0.014 24.326|0.015 15.98|1.12 20.12|0.58                         ---              1   1 1          
  8 NGVS J122806.31+080342.8 26.529|0.007 25.861|0.012 13.06|0.36  7.84|0.48                       15078              1   1 0          
  9 NGVS J122818.37+074924.9 26.586|0.014 25.692|0.019 21.60|0.58 28.37|0.89                       41827              4   1 0          
 10 NGVS J122828.41+083115.5 25.980|0.013 25.221|0.007 14.70|0.60 19.45|0.49                       31226              3   1 0          
 11 NGVS J122828.60+070228.2 25.771|0.008 24.799|0.019 20.71|0.49 27.63|1.38                         ---              1   1 1          
 12 NGVS J122830.49+071929.1 25.495|0.007 24.763|0.016 17.39|0.48 12.68|0.94                        1528              2   1 0          
 13 NGVS J122849.25+075919.4 26.269|0.006 25.541|0.009 14.34|0.30  8.11|0.45                         ---              1   1 1          
 14 NGVS J122850.66+082621.0 26.601|0.015 25.829|0.010 11.53|0.74 14.39|0.31                       65197              1   1 0          
 15 NGVS J122857.99+083513.8 23.721|0.020 22.670|0.009 28.03|0.91 28.08|0.52                         ---              3   1 0          
 16 NGVS J122858.00+071759.9 25.228|0.011 24.205|0.017 20.64|0.57 21.98|0.68                       25640              1   1 0          
 17 NGVS J122906.90+073558.8 26.222|0.018 25.375|0.030 16.55|0.80 21.17|1.19                       51723              1   1 0          
 18 NGVS J122917.85+082558.1 23.435|0.012 22.505|0.022 44.34|0.70 36.59|1.34                       26908              1   1 0          
 19 NGVS J122922.85+074901.2 25.782|0.010 25.037|0.014 15.13|0.39 14.98|0.43                        1675              1   1 1          
 20 NGVS J122924.89+072105.3 26.332|0.021 25.666|0.020 22.05|1.01 19.92|0.98                         ---              3   1 0          
 21 NGVS J122925.10+075407.0 25.185|0.004 24.423|0.006 15.91|0.24 16.87|0.24                        1107              1   1 1          
 22 NGVS J122926.23+081658.8 26.503|0.006 25.739|0.010 12.56|0.19  8.23|0.31                         465              1   1 1          
 23 NGVS J122928.21+075355.4 24.867|0.004 23.960|0.005 18.93|0.22 16.62|0.24                         637              1   1 1          
 24 NGVS J122928.62+075824.6 25.905|0.017 25.140|0.018 11.81|0.89 14.55|0.51                        1114              1   1 1          
 25 NGVS J122934.41+080540.9 25.478|0.021 24.784|0.013 20.92|0.97 20.89|0.62                        1014              4   1 0          
 26 NGVS J122948.37+080042.0 25.738|0.009 24.931|0.013 14.37|0.58 15.33|0.58                         907              1   1 1          
 27 NGVS J122957.08+074820.0 24.662|0.008 23.916|0.013 19.60|0.34 14.55|0.34                         843              1   1 1          
 28 NGVS J122958.06+080409.2 24.694|0.006 23.787|0.010 16.93|0.24 18.49|0.36                         606              1   1 1          
 29 NGVS J123002.49+075846.7 25.946|0.008 25.211|0.011 18.06|0.39 17.50|0.43                        1820              1   1 1          
 30 NGVS J123004.35+073932.2 26.586|0.007 25.902|0.013 12.20|0.48  6.89|0.70                        1043              1   1 1          
 31 NGVS J123006.03+074901.2 26.253|0.005 25.543|0.008 13.32|0.25 13.09|0.40                         549              1   1 1          
 32 NGVS J123006.89+080509.5 25.431|0.009 24.674|0.011 13.39|0.27 13.47|0.30                        1001              1   1 1          
 33 NGVS J123008.39+082507.4 24.074|0.010 23.232|0.010 17.47|0.58 17.23|0.39                         ---              1   1 1          
 34 NGVS J123008.69+065353.4 25.172|0.016 24.223|0.011 15.74|1.04 25.41|0.58                       52650              1   1 0          
 35 NGVS J123009.17+074127.5 24.567|0.006 23.643|0.014 12.25|0.34 10.46|0.61                         ---              1   1 1          
 36 NGVS J123015.56+083445.0 25.865|0.023 24.954|0.048 10.86|0.98 11.37|1.44                        -129              1   1 1          
 37 NGVS J123016.65+080454.4 25.815|0.006 25.017|0.011 16.93|0.34 17.94|0.43                         778              1   1 1          
 38 NGVS J123018.06+075024.9 24.352|0.004 23.486|0.004 31.19|0.22 31.86|0.37                        1070              1   1 1          
 39 NGVS J123029.94+074755.5 25.394|0.004 24.567|0.006 11.08|0.16 11.16|0.22                        1395              1   1 1          
 40 NGVS J123047.31+073619.4 25.158|0.006 24.453|0.012 14.60|0.33 12.29|0.68                        1522              2   1 0          
