UCD-FORS  1 1_0630    3 38 56.14 -35 24 49.0 20.31|0.004 28.10|0.16 3.32|0.06 1.02|0.07  666| 48
UCD-FORS  2 Y99025 a  3 38 58.55 -35 26 26.0 20.21|0.012 34.68|0.76 4.85|0.17 0.96|0.04 1070| 38
UCD-FORS  4 2_2115    3 38 49.18 -35 21 42.1 20.96|0.003 23.70|0.15 2.44|0.05 1.19|0.07  864| 79
UCD-FORS 32 UCD6      3 38 05.04 -35 24 09.7 19.15|0.001 33.27|0.07 0.94|0.01 1.13|0.11 1220| 45
UCD-FORS 36 UCDm      3 38 06.48 -35 23 03.8 20.00|0.002 25.06|0.08 4.09|0.04 1.00|0.04 1442|123
UCD-FORS 45 UCD28     3 38 10.73 -35 25 46.2 19.97|0.003 33.83|0.14 3.81|0.03 1.29|0.04 1715| 90
UCD-FORS 48 UCD31     3 38 16.51 -35 26 19.3 20.60|0.008 25.88|0.29 4.41|0.13 0.95|0.05  899| 85
UCD-FORS 50 1_2095    3 38 33.82 -35 25 57.0 20.61|0.007 24.05|0.24 4.56|0.13 1.10|0.04 1223|221
UCD-FORS 52 2_2127    3 38 11.69 -35 27 16.2 20.81|0.02  44.41|2.47 9.05|0.38 1.16|0.06 1443|131
UCD-FORS 56 Y10056    3 38 38.77 -35 25 55.2 21.18|0.033 36.72|2.37 5.44|0.42 1.26|0.07 1062|105
UCD-FORS 71 Y10048    3 38 35.23 -35 25 39.2 22.05|0.015 24.85|0.51 2.71|0.20 1.09|0.04 1601| 30
UCD-FORS 81 UCD2   b  3 38 06.29 -35 28 58.8 19.31|0.048 37.82|2.58 2.03|0.33 1.13|0.11 1249| 37
UCD-FORS 84 2_2072 c  3 38 14.69 -35 33 40.7 20.77|0.001 41.85|0.11 1.96|0.01 0.89|0.05 1448|176
