UCD-FORS  3 1_2103  3 38 57.38 -35 24 50.8 20.82|0.11 1.14|0.07
UCD-FORS  5 1_064   3 38 49.78 -35 23 35.5 20.99|0.08 1.18|0.05
UCD-FORS  6 76.059  3 38 46.90 -35 23 48.8 21.10|0.08 1.01|0.08
UCD-FORS  7 75.085  3 38 50.40 -35 22 07.7 21.46|0.08 1.23|0.08
UCD-FORS  8 Y5100   3 38 48.93 -35 21 22.6 21.73|0.10 1.36|0.05
UCD-FORS  9 78.070  3 38 42.48 -35 26 12.5 21.88|0.09 1.20|0.05
UCD-FORS 10 UCD41   3 38 29.04 -35 22 56.6 19.98|0.07 1.16|0.04
UCD-FORS 11 0_2030  3 38 28.34 -35 25 38.3 20.08|0.11 1.10|0.05
UCD-FORS 12 Y446    3 38 30.72 -35 24 40.7 21.01|0.10 1.03|0.06
UCD-FORS 14 1_058   3 38 39.31 -35 27 06.5 20.72|0.15 1.08|0.13
UCD-FORS 15 AAT38   3 38 37.97 -35 23 33.0 20.90|0.10 1.19|0.13
UCD-FORS 16 0_2074  3 38 35.66 -35 27 15.5 21.03|0.12 1.11|0.07
UCD-FORS 17 76.080  3 38 40.99 -35 22 41.9 21.27|0.08 1.15|0.07
UCD-FORS 18 Y4735   3 38 40.24 -35 21 33.2 21.48|0.15 1.15|0.07
UCD-FORS 19 K1044a  3 38 40.20 -35 27 00.7 21.30|0.08 0.89|0.05
UCD-FORS 21 Y4654   3 38 38.75 -35 25 42.9 21.64|0.04 1.17|0.06
UCD-FORS 22 UCD27   3 38 10.34 -35 24 06.1 19.70|0.11 1.10|0.06
UCD-FORS 23 Y99071  3 38 08.64 -35 23 51.8 22.02|0.10 4.89|0.04
UCD-FORS 24 80.056  3 38 19.73 -35 23 40.6 20.66|0.09 0.97|0.08
UCD-FORS 25 0_2032  3 38 30.22 -35 21 31.0 20.86|0.08 1.04|0.08
UCD-FORS 26 81.049  3 38 08.35 -35 23 56.0 22.12|0.53 1.02|0.24
UCD-FORS 27 81.041  3 38 07.06 -35 24 28.8 21.60|0.08 1.26|0.06
UCD-FORS 28 81.098  3 38 07.66 -35 20 51.4 21.93|0.07 0.94|0.05
UCD-FORS 29 81.066  3 38 06.31 -35 22 48.4 21.85|0.08 0.94|0.05
UCD-FORS 30 0_2030  3 38 28.34 -35 25 38.3 20.08|0.11 1.10|0.05
UCD-FORS 31 NTT407  3 38 04.17 -35 25 26.6 20.24|0.17 0.91|0.11
UCD-FORS 34 Y446    3 38 30.72 -35 24 40.7 21.01|0.10 1.03|0.06
UCD-FORS 38 0_2063  3 38 19.08 -35 26 37.3 20.87|0.05 1.06|0.05
UCD-FORS 39 0_2027  3 38 19.49 -35 25 52.3 21.08|0.09 1.25|0.06
UCD-FORS 40 0_2089  3 38 17.09 -35 26 30.8 21.00|0.13 1.13|0.04
UCD-FORS 41 K1026   3 38 14.25 -35 26 43.9 20.91|0.08 1.11|0.06
UCD-FORS 42 80.028  3 38 26.47 -35 25 21.0 21.31|0.09 1.08|0.06
UCD-FORS 43 Y7797   3 38 26.40 -35 24 25.6 21.31|0.06 1.08|0.05
UCD-FORS 44 Y4222   3 38 29.52 -35 25 08.5 21.31|0.10 1.21|0.06
UCD-FORS 46 Y9320   3 38 19.99 -35 26 44.0 21.29|0.10 1.08|0.06
UCD-FORS 47 80.027  3 38 26.28 -35 25 25.0 21.38|0.08 1.24|0.05
UCD-FORS 49 80.035  3 38 18.22 -35 24 54.0 21.30|0.09 1.08|0.06
UCD-FORS 51 82.040  3 38 10.32 -35 26 31.9 21.86|0.38 1.22|0.19
UCD-FORS 53 Y4507   3 38 35.48 -35 25 29.6 21.41|0.04 1.18|0.05
UCD-FORS 54 82.029  3 38 05.66 -35 26 46.7 22.04|0.41 1.22|0.09
UCD-FORS 55 Y3866   3 38 22.41 -35 26 33.2 21.15|0.11 1.10|0.07
UCD-FORS 58 Y7698   3 38 20.60 -35 26 11.3 21.62|0.06 1.15|0.05
UCD-FORS 59 Y7967   3 38 35.78 -35 25 34.1 21.62|0.02 1.01|0.04
UCD-FORS 60 Y7935   3 38 33.86 -35 25 21.9 21.72|0.25 0.83|0.05
UCD-FORS 61 Y9354   3 38 23.21 -35 25 29.7 21.94|0.07 1.32|0.13
UCD-FORS 62 K1031   3 38 21.54 -35 26 16.1 21.89|0.08 1.01|0.04
UCD-FORS 63 K1032a  3 38 21.69 -35 25 14.9 21.92|0.08 1.20|0.04
UCD-FORS 65 80.045  3 38 22.85 -35 24 23.0 22.18|0.13 0.78|0.27
UCD-FORS 66 UCD33   3 38 17.47 -35 33 04.0 20.40|0.06 0.99|0.05
UCD-FORS 67 0_2023  3 38 12.70 -35 28 57.0 20.85|0.08 1.10|0.08
UCD-FORS 68 0_2026  3 38 18.89 -35 32 23.3 20.98|0.09 1.11|0.07
UCD-FORS 72 2_089   3 38 14.02 -35 29 43.1 20.96|0.08 1.04|0.06
UCD-FORS 73 Y3786   3 38 20.81 -35 34 26.9 21.06|0.03 0.96|0.04
UCD-FORS 74 2_2100  3 38 00.17 -35 30 08.3 21.12|0.09 1.05|0.07
UCD-FORS 75 91.113  3 38 08.16 -35 27 52.2 21.08|0.09 1.01|0.05
UCD-FORS 77 89.055  3 38 22.44 -35 30 49.0 21.14|0.10 0.96|0.06
UCD-FORS 78 Y7523   3 38 08.80 -35 32 25.5 21.53|0.03 1.80|0.03
UCD-FORS 79 90.074  3 38 08.78 -35 29 39.5 21.17|0.07 0.95|0.05
UCD-FORS 82 92.060  3 38 04.68 -35 30 07.9 21.17|0.08 1.16|0.05
UCD-FORS 83 AAT21   3 38 13.07 -35 31 07.4 21.11|0.11 1.09|0.12
UCD-FORS 85 90.077  3 38 11.30 -35 29 31.2 21.43|0.09 1.08|0.05
UCD-FORS 86 90.015  3 38 14.66 -35 33 25.6 21.31|0.08 1.22|0.05
UCD-FORS 87 gc156   3 38 13.56 -35 28 56.3 21.28|0.02 1.15|0.03
UCD-FORS 88 91.083  3 37 58.75 -35 29 32.3 21.43|0.08 1.04|0.06
UCD-FORS 89 91.109  3 38 04.44 -35 28 11.6 21.42|0.07 1.19|0.05
UCD-FORS 90 89.037  3 38 15.46 -35 32 04.2 21.43|0.08 1.04|0.05
UCD-FORS 91 Y7703   3 38 20.99 -35 30 13.1 21.55|0.11 1.03|0.05
UCD-FORS 93 Y3603   3 38 16.49 -35 31 07.7 21.59|0.10 1.01|0.04
UCD-FORS 94 90.044  3 38 18.31 -35 31 34.7 22.20|0.18 0.94|0.04
UCD-FORS 95 89.042  3 38 13.25 -35 31 43.0 21.85|0.08 0.86|0.13
UCD-FORS 97 K1022   3 38 09.21 -35 35 07.3 20.85|0.07 1.31|0.05
